Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tampa Bay Buccaneers,3,D,4300,TB,@NYJ,16.0,TB by 13,2.9,0.4,1.3,221,98,18.0,8.8,9.0,8.7,8.7,2.3,15.2,10.3,2.4,3.0,0.7
New England Patriots,6,D,3900,NE,JAX,12.8,NE by 15.5,1.9,0.8,0.9,203,105,14.5,10.3,3.3,9.7,9.7,1.7,17.8,11.7,3.0,12.0,3.1
San Francisco 49ers,2,D,3800,SF,HOU,15.8,SF by 12.5,2.6,0.5,0.9,192,85,16.0,8.3,7.7,6.7,6.7,2.4,10.9,10.8,2.8,9.0,2.4
Philadelphia Eagles,,D,3700,PHI,@WAS,20.5,PHI by 3.5,2.5,0.6,1.0,211,120,19.6,8.9,8.7,7.5,7.5,0.6,14.4,8.6,2.3,6.0,1.6
Los Angeles Rams,2,D,3600,LAR,@BAL,21.5,LAR by 3.5,3.3,0.4,1.0,244,138,23.7,7.7,9.7,6.6,6.6,2.2,11.0,8.1,2.3,13.0,3.6
Buffalo Bills,3,D,3500,BUF,ATL,14.8,BUF by 14.5,2.1,0.5,0.9,223,86,17.7,9.6,4.3,8.3,8.3,0.6,16.1,10.3,2.9,11.0,3.1
New Orleans Saints,3,D,3400,NO,CAR,15.8,NO by 7,2.9,0.4,1.3,196,110,18.3,9.7,10.3,8.0,8.0,1.9,14.1,10.3,3.0,15.0,4.4
Seattle Seahawks,3,D,3300,SEA,DET,18.0,SEA by 6.5,2.3,0.6,0.7,202,113,17.3,7.4,6.3,5.3,5.3,2.0,8.5,9.1,2.8,5.0,1.5
Dallas Cowboys,3,D,3200,DAL,ARI,23.3,DAL by 4.5,2.2,0.2,0.7,254,122,25.9,4.7,20.7,11.9,11.9,4.8,19.1,7.1,2.2,1.0,0.3
Chicago Bears,6,D,3200,CHI,NYG,15.5,CHI by 6,2.1,0.5,1.1,208,96,16.0,8.2,4.7,5.3,5.3,-0.2,10.9,9.8,3.1,21.0,6.6
Tennessee Titans,1,D,3100,TEN,MIA,18.3,TEN by 3.5,2.3,0.7,0.9,224,87,19.1,7.5,10.7,7.5,7.5,0.7,14.2,8.0,2.6,15.0,4.8
Los Angeles Chargers,2,D,3100,LAC,DEN,19.8,LAC by 6.5,2.5,0.5,0.6,212,117,19.5,7.2,2.3,4.4,4.4,-1.2,10.0,8.1,2.6,13.0,4.2
Pittsburgh Steelers,,D,3100,PIT,CLE,22.3,CLE by 3.5,2.6,0.5,0.7,201,145,20.1,6.0,4.7,5.6,5.6,0.4,10.8,7.4,2.4,14.0,4.5
Kansas City Chiefs,1,D,3000,KC,@CIN,23.0,KC by 5,3.1,0.5,0.9,259,107,26.9,6.3,13.0,7.9,7.9,1.1,14.8,7.3,2.4,3.0,1.0
Carolina Panthers,1,D,3000,CAR,@NO,22.8,NO by 7,2.3,0.3,0.9,187,115,19.9,7.2,2.0,5.9,5.9,1.1,10.6,6.7,2.2,3.0,1.0
Cleveland Browns,,D,3000,CLE,@PIT,18.8,CLE by 3.5,2.3,0.6,0.6,229,88,20.1,6.3,7.0,6.1,6.1,-0.3,12.6,7.1,2.4,4.0,1.3
Indianapolis Colts,6,D,2900,IND,LV,19.0,IND by 6.5,2.3,0.7,0.8,277,91,20.9,7.5,11.7,8.7,8.7,3.7,13.7,8.9,3.1,6.0,2.1
Cincinnati Bengals,,D,2900,CIN,KC,28.0,KC by 5,1.8,0.8,0.9,285,111,26.9,5.6,5.7,6.5,6.5,1.7,11.4,4.9,1.7,-1.0,-0.3
Green Bay Packers,2,D,2900,GB,MIN,20.5,GB by 6.5,1.7,0.4,0.5,255,120,25.2,4.3,8.7,7.6,7.6,1.8,13.4,10.9,3.8,6.0,2.1
Miami Dolphins,2,D,2800,MIA,@TEN,21.8,TEN by 3.5,3.0,0.7,0.9,202,139,22.6,7.3,14.3,8.9,8.9,0.6,17.2,7.2,2.6,0.0,0.0
New York Giants,,D,2800,NYG,@CHI,21.5,CHI by 6,3.3,0.6,1.1,185,123,17.3,8.9,1.0,5.1,5.1,-0.3,10.6,6.9,2.5,6.0,2.1
Arizona Cardinals,,D,2700,ARI,@DAL,27.8,DAL by 4.5,2.1,0.5,0.7,283,127,28.1,4.3,2.7,7.6,7.6,2.1,13.1,5.5,2.0,3.0,1.1
