Player,Projection,DK Position,Team,Opponent,DK Salary,DK Ownership,DKSlateID
cooper kupp,26.95,WR,LAR,JAX,9000,20.3,20388828
jonathan taylor,24.79,RB,IND,HOU,9200,21.1,20388558
lamar jackson,24.54,QB,BAL,PIT,7800,4.8,20388484
tom brady,24.31,QB,TB,ATL,7200,12.8,20388487
matthew stafford,24.03,QB,LAR,JAX,7300,8.0,20388486
alexander mattison,23.34,RB,MIN,DET,7600,21.5,20388568
justin herbert,21.1,QB,LAC,CIN,6700,9.0,20388489
sony michel,20.88,RB,LAR,JAX,4300,24.0,20388640
derek carr,20.6,QB,LV,WAS,6000,7.6,20388494
kirk cousins,19.82,QB,MIN,DET,6500,7.3,20388490
joe burrow,19.66,QB,CIN,LAC,6300,6.9,20388492
james conner,19.54,RB,ARI,CHI,5900,14.9,20388586
carson wentz,19.51,QB,IND,HOU,6100,4.7,20388493
leonard fournette,19.38,RB,TB,ATL,7300,17.4,20388570
joe mixon,19.33,RB,CIN,LAC,8100,12.1,20388562
jamaal williams,19.33,RB,DET,MIN,5400,15.7,20388596
tua tagovailoa,19.06,QB,MIA,NYG,5500,3.4,20388498
saquon barkley,18.95,RB,NYG,MIA,6300,5.7,20388576
taylor heinicke,18.8,QB,WAS,LV,5600,5.0,20388496
justin jefferson,18.79,WR,MIN,DET,8200,10.0,20388832
kyler murray,18.67,QB,ARI,CHI,7500,3.2,20388485
austin ekeler,18.56,RB,LAC,CIN,8300,10.3,20388560
russell wilson,18.31,QB,SEA,SF,6400,2.6,20388491
chris godwin,18.09,WR,TB,ATL,6600,18.5,20388848
keenan allen,17.98,WR,LAC,CIN,7500,14.8,20388834
eli mitchell,17.96,RB,SF,SEA,6000,17.9,20388582
hunter renfrow,17.94,WR,LV,WAS,5800,17.4,20388864
matt ryan,17.59,QB,ATL,TB,5600,4.1,20388497
gardner minshew ii,17.59,QB,PHI,NYJ,4000,7.4,20388546
david montgomery,17.41,RB,CHI,ARI,5600,7.3,20388592
antonio gibson,17.24,RB,WAS,LV,5700,27.6,20388590
jimmy garoppolo,17.19,QB,SF,SEA,5700,2.1,20388495
jamarr chase,17.11,WR,CIN,LAC,7000,10.6,20388840
george kittle,16.69,TE,SF,SEA,5900,7.1,20389252
diontae johnson,16.68,WR,PIT,BAL,6800,7.5,20388842
tyrod taylor,16.6,QB,HOU,IND,5300,1.4,20388501
najee harris,16.59,RB,PIT,BAL,7700,1.8,20388566
miles sanders,16.5,RB,PHI,NYJ,5200,7.3,20388600
mike evans,16.2,WR,TB,ATL,6700,10.4,20388844
ben roethlisberger,16.17,QB,PIT,BAL,5000,1.8,20388507
michael pittman jr,15.64,WR,IND,HOU,5700,12.0,20388868
josh jacobs,15.47,RB,LV,WAS,6000,9.1,20388584
trevor lawrence,15.36,QB,JAX,LAR,5100,2.0,20388506
cordarrelle patterson,15.29,RB,ATL,TB,7000,6.3,20388572
jared goff,15.14,QB,DET,MIN,5200,3.0,20388503
zach wilson,15.06,QB,NYJ,PHI,5200,0.9,20388504
adam thielen,15.04,WR,MIN,DET,7300,6.3,20388838
brandin cooks,15.03,WR,HOU,IND,5900,7.4,20388862
tyler lockett,14.94,WR,SEA,SF,6500,4.9,20388850
tee higgins,14.92,WR,CIN,LAC,5800,11.9,20388866
terry mclaurin,14.92,WR,WAS,LV,7400,6.5,20388836
jaylen waddle,14.83,WR,MIA,NYG,6400,6.1,20388854
james robinson,14.52,RB,JAX,LAR,6200,4.7,20388578
rob gronkowski,14.28,TE,TB,ATL,5300,12.3,20389258
myles gaskin,14.21,RB,MIA,NYG,5800,5.0,20388588
odell beckham jr,14.17,WR,LAR,JAX,5500,11.4,20388878
dk metcalf,14.15,WR,SEA,SF,6700,4.9,20388846
brandon aiyuk,14.13,WR,SF,SEA,5600,12.7,20388876
mike williams,14.08,WR,LAC,CIN,5700,8.8,20388870
kyle pitts,14.05,TE,ATL,TB,5600,6.9,20389254
andy dalton,13.88,QB,CHI,ARI,5300,0.9,20388502
darnell mooney,13.74,WR,CHI,ARI,5600,8.2,20388872
mike glennon,13.62,QB,NYG,MIA,4000,1.1,20388551
marquise brown,13.47,WR,BAL,PIT,6500,5.5,20388852
chase claypool,12.91,WR,PIT,BAL,6000,1.4,20388860
russell gage,12.52,WR,ATL,TB,5300,7.6,20388888
devonta smith,12.41,WR,PHI,NYJ,6100,4.0,20388858
mark andrews,12.36,TE,BAL,PIT,6000,3.5,20389250
van jefferson jr,12.28,WR,LAR,JAX,5300,6.1,20388886
elijah moore,12.24,WR,NYJ,PHI,5500,4.1,20388880
devonta freeman,12.12,RB,BAL,PIT,5500,1.7,20388594
tyler higbee,11.97,TE,LAR,JAX,3800,4.4,20389272
rex burkhead,11.85,RB,HOU,IND,4800,3.5,20388620
tj hockenson,11.83,TE,DET,MIN,5200,2.9,20389260
dallas goedert,11.68,TE,PHI,NYJ,4500,8.5,20389264
christian kirk,11.67,WR,ARI,CHI,5600,0.7,20388874
tyler boyd,11.47,WR,CIN,LAC,5000,3.0,20388898
marvin jones jr,11.44,WR,JAX,LAR,4700,3.2,20388906
devante parker,11.12,WR,MIA,NYG,3900,10.5,20388930
mike gesicki,11.02,TE,MIA,NYG,5100,1.5,20389262
rondale moore,10.68,WR,ARI,CHI,4700,0.8,20388908
laviska shenault jr,10.44,WR,JAX,LAR,4400,4.6,20388920
kenny golladay,10.43,WR,NYG,MIA,5000,1.7,20388892
corey davis,10.42,WR,NYJ,PHI,4900,1.7,20388902
zach ertz,10.3,TE,ARI,CHI,5400,1.1,20389256
amonra st brown,10.23,WR,DET,MIN,4400,4.1,20388918
pat freiermuth,9.96,TE,PIT,BAL,4200,4.8,20389266
aj green,9.85,WR,ARI,CHI,5000,0.5,20388894
foster moreau,9.71,TE,LV,WAS,2700,32.2,20389304
josh reynolds,9.48,WR,DET,MIN,3400,14.3,20388960
cole kmet,9.47,TE,CHI,ARI,3600,3.3,20389278
desean jackson,9.35,WR,LV,WAS,4200,1.9,20388924
darius slayton,9.24,WR,NYG,MIA,4600,0.5,20388910
deandre hopkins,9.13,WR,ARI,CHI,6200,1.0,20388856
ty hilton,9.13,WR,IND,HOU,4400,1.7,20388916
dolphins,9.12,DST,MIA,NYG,3300,14.7,20389514
evan engram,9.06,TE,NYG,MIA,3500,1.6,20389280
james oshaughnessy,9.0,TE,JAX,LAR,2600,4.8,20389318
tajae sharpe,8.92,WR,ATL,TB,3700,1.6,20388936
eagles,8.92,DST,PHI,NYJ,3600,8.9,20389510
gerald everett,8.91,TE,SEA,SF,3800,1.7,20389274
jamison crowder,8.9,WR,NYJ,PHI,4600,0.7,20388912
zach pascal,8.78,WR,IND,HOU,3500,2.1,20388954
cardinals,8.77,DST,ARI,CHI,3400,7.1,20389513
logan thomas,8.65,TE,WAS,LV,4000,4.5,20389268
rams,8.52,DST,LAR,JAX,4000,5.0,20389508
kalif raymond,8.5,WR,DET,MIN,4500,0.5,20388914
kenyan drake,8.46,RB,LV,WAS,4400,1.3,20388638
tyler conklin,8.32,TE,MIN,DET,3700,2.6,20389276
