Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tampa Bay Buccaneers,5,D,4100,TB,@CAR,16.5,TB by 10.5,2.6,0.4,1.3,195,113,19.2,9.2,7.3,8.2,8.2,1.8,14.6,10.6,2.6,16.0,3.9
Philadelphia Eagles,5,D,3600,PHI,NYG,15.3,PHI by 10,2.1,0.5,1.0,215,96,16.4,7.6,7.0,6.8,6.8,0.1,13.6,10.2,2.8,16.0,4.4
Kansas City Chiefs,3,D,3500,KC,PIT,18.5,KC by 7.5,2.4,0.5,0.6,233,85,20.8,5.9,14.7,7.6,7.6,0.6,14.7,9.0,2.6,12.0,3.4
Los Angeles Chargers,4,D,3400,LAC,@HOU,17.8,LAC by 10,2.7,0.5,1.0,188,77,14.6,9.1,10.0,4.9,4.9,-0.5,10.4,9.5,2.8,-3.0,-0.9
Dallas Cowboys,,D,3300,DAL,WAS,18.0,DAL by 11,2.3,0.7,0.9,214,123,20.0,7.8,18.3,11.1,11.1,4.5,17.7,9.9,3.0,24.0,7.3
Buffalo Bills,,D,3200,BUF,@NE,23.0,NE by 2.5,1.8,0.6,0.7,227,121,24.9,5.9,3.7,8.6,8.6,0.6,16.6,7.4,2.3,5.0,1.6
New Orleans Saints,,D,3200,NO,MIA,17.8,NO by 3,2.3,0.8,0.9,228,87,19.5,7.6,9.3,8.1,8.1,1.9,14.4,7.6,2.4,6.0,1.9
Los Angeles Rams,,D,3100,LAR,@MIN,23.3,LAR by 3,1.6,0.4,0.4,253,124,25.4,3.8,6.7,6.2,6.2,1.8,10.6,6.7,2.2,11.0,3.5
Baltimore Ravens,,D,3100,BAL,@CIN,24.0,CIN by 3,3.1,0.5,1.0,242,109,25.9,6.8,2.3,5.3,5.3,1.0,9.6,6.2,2.0,-1.0,-0.3
San Francisco 49ers,2,D,3100,SF,@TEN,20.5,SF by 3,2.9,0.8,1.0,203,142,22.8,7.4,9.0,6.8,6.8,2.4,11.1,7.9,2.5,5.0,1.6
Pittsburgh Steelers,,D,3000,PIT,@KC,26.0,KC by 7.5,1.8,0.9,0.9,287,110,26.2,6.1,8.7,6.1,6.1,1.2,11.1,5.3,1.8,-2.0,-0.7
Seattle Seahawks,4,D,3000,SEA,CHI,17.8,SEA by 7,3.2,0.6,1.1,182,125,16.7,9.2,7.0,5.4,5.4,2.0,8.7,8.8,2.9,4.0,1.3
Miami Dolphins,1,D,3000,MIA,@NO,20.8,NO by 3,1.9,0.4,0.8,195,117,21.1,5.9,13.7,7.7,7.7,0.5,15.0,9.1,3.0,25.0,8.3
New England Patriots,1,D,2900,NE,BUF,20.5,NE by 2.5,1.9,0.4,0.9,257,121,27.7,4.6,8.3,10.5,10.5,2.7,18.3,8.2,2.8,-1.0,-0.3
Las Vegas Raiders,2,D,2900,LV,DEN,20.8,DEN by 0,2.6,0.5,0.6,217,124,19.9,7.3,1.3,3.6,3.6,-0.2,7.5,7.4,2.6,6.0,2.1
Tennessee Titans,,D,2900,TEN,SF,23.5,SF by 3,1.9,0.7,0.6,240,127,24.9,5.1,7.7,7.5,7.5,0.5,14.5,6.6,2.3,7.0,2.4
Denver Broncos,1,D,2800,DEN,@LV,20.8,DEN by 0,2.4,0.6,0.8,284,86,21.2,7.4,6.0,7.8,7.8,1.8,13.7,7.1,2.5,9.0,3.2
Cincinnati Bengals,3,D,2800,CIN,BAL,21.0,CIN by 3,3.4,0.4,1.0,241,145,23.9,8.1,6.7,6.8,6.8,1.8,11.7,10.0,3.6,3.0,1.1
Indianapolis Colts,0,D,2800,IND,@ARI,25.0,ARI by 1,2.4,0.2,0.8,255,121,26.6,4.9,11.3,9.1,9.1,4.2,14.1,6.1,2.2,3.0,1.1
New York Jets,3,D,2700,NYJ,JAX,20.8,JAX by 0,2.0,0.8,1.0,200,103,14.0,10.4,5.0,3.4,3.4,-0.6,7.3,8.2,3.0,9.0,3.3
Jacksonville Jaguars,2,D,2700,JAX,@NYJ,20.8,JAX by 0,3.0,0.4,1.4,229,85,17.4,8.8,1.3,3.4,3.4,-1.7,8.6,7.3,2.7,9.0,3.3
Arizona Cardinals,,D,2700,ARI,IND,24.0,ARI by 1,1.6,0.7,0.5,204,157,28.0,3.9,5.3,7.9,7.9,2.3,13.5,6.7,2.5,3.0,1.1
