Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
New England Patriots,2,D,5000,NE,@HOU,15.3,NE by 9,2.3,0.5,1.3,180,83,16.8,8.3,8.3,7.5,7.5,-0.3,15.3,10.0,2.0,5.0,1.0
Tampa Bay Buccaneers,0,D,4800,TB,MIA,19.0,TB by 10,3.3,1.0,0.5,174,78,14.0,9.8,9.3,7.5,7.5,-1.1,16.1,9.5,2.0,8.0,1.7
Arizona Cardinals,0,D,4700,ARI,SF,22.3,ARI by 5.5,1.8,1.0,0.5,261,115,25.3,3.8,8.0,10.0,10.0,1.7,18.3,8.9,1.9,8.0,1.7
New Orleans Saints,,D,4600,NO,@WAS,21.3,NO by 2,1.0,0.5,0.8,239,103,25.3,3.3,9.3,10.8,10.8,2.5,19.0,7.9,1.7,6.0,1.3
Las Vegas Raiders,1,D,4500,LV,CHI,19.3,LV by 5.5,4.0,0.3,0.8,114,123,14.5,8.3,3.3,4.3,4.3,1.8,6.8,8.3,1.8,3.0,0.7
Baltimore Ravens,0,D,4500,BAL,IND,19.5,BAL by 7,2.5,0.5,0.5,214,112,19.3,5.3,7.7,6.8,6.8,2.9,10.6,8.1,1.8,6.0,1.3
Denver Broncos,2,D,4400,DEN,@PIT,20.3,PIT by 1,2.5,0.3,1.0,247,55,16.8,6.5,10.3,9.8,9.8,3.0,16.5,8.3,1.9,3.0,0.7
Chicago Bears,,D,4300,CHI,@LV,24.8,LV by 5.5,3.0,0.0,0.8,326,81,25.5,5.8,11.0,8.3,8.3,0.2,16.3,5.9,1.4,9.0,2.1
Tennessee Titans,,D,4200,TEN,@JAX,22.0,TEN by 4.5,1.5,0.5,1.8,209,112,18.5,8.8,2.7,2.0,2.0,0.6,3.4,7.3,1.7,13.0,3.1
Atlanta Falcons,,D,4200,ATL,NYJ,21.5,ATL by 3,4.0,0.0,2.0,200,77,11.8,12.5,2.0,1.5,1.5,-0.9,3.9,7.8,1.9,5.0,1.2
Green Bay Packers,0,D,4100,GB,@CIN,24.0,GB by 3,2.5,0.3,1.0,228,98,23.0,6.8,6.7,4.0,4.0,-1.4,9.4,6.5,1.6,7.0,1.7
Cleveland Browns,1,D,4100,CLE,@LAC,24.0,LAC by 1.5,1.8,0.3,0.8,284,108,23.8,3.8,9.7,7.5,7.5,1.1,13.9,6.2,1.5,0.0,0.0
Dallas Cowboys,1,D,4000,DAL,NYG,22.5,DAL by 7,2.0,0.5,0.3,283,102,20.8,4.5,9.3,8.8,8.8,5.9,11.6,7.3,1.8,11.0,2.8
Pittsburgh Steelers,0,D,4000,PIT,DEN,19.3,PIT by 1,3.0,0.5,0.3,232,122,20.8,7.0,3.0,5.8,5.8,0.1,11.4,7.8,1.9,5.0,1.3
Minnesota Vikings,2,D,3900,MIN,DET,20.0,MIN by 9,2.5,0.8,0.5,250,102,20.3,7.0,6.3,6.0,6.0,1.9,10.1,8.1,2.1,9.0,2.3
Indianapolis Colts,,D,3900,IND,@BAL,26.5,BAL by 7,2.8,0.5,0.8,256,165,26.3,6.0,8.7,7.5,7.5,4.6,10.4,5.5,1.4,3.0,0.8
Carolina Panthers,0,D,3800,CAR,PHI,20.8,CAR by 3.5,2.0,0.0,0.5,275,123,22.0,5.8,5.3,6.3,6.3,-0.8,13.3,7.7,2.0,8.0,2.1
Washington Redskins,2,D,3800,WAS,NO,23.3,NO by 2,1.8,0.0,0.8,144,133,20.5,3.5,1.7,3.0,3.0,-2.0,8.0,6.7,1.8,5.0,1.3
San Francisco 49ers,,D,3700,SF,@ARI,27.8,ARI by 5.5,2.0,0.0,1.0,304,137,33.5,4.8,3.3,5.0,5.0,0.2,9.8,5.6,1.5,5.0,1.4
Los Angeles Chargers,0,D,3700,LAC,CLE,22.5,LAC by 1.5,3.0,0.5,0.5,212,177,25.0,4.8,7.3,6.5,6.5,3.9,9.1,6.6,1.8,-3.0,-0.8
Miami Dolphins,,D,3600,MIA,@TB,29.0,TB by 10,1.8,0.8,0.5,328,72,27.5,3.3,5.0,5.3,5.3,1.5,9.0,4.0,1.1,-2.0,-0.6
New York Jets,,D,3600,NYJ,@ATL,24.5,ATL by 3,2.0,0.3,0.8,233,87,19.5,10.3,4.7,4.5,4.5,2.8,6.2,6.1,1.7,4.0,1.1
Buffalo Bills,,D,3500,BUF,@KC,29.5,KC by 2.5,1.3,0.8,1.0,297,130,32.0,4.8,17.3,13.5,13.5,2.9,24.1,4.9,1.4,17.0,4.9
Philadelphia Eagles,,D,3500,PHI,@CAR,24.3,CAR by 3.5,2.8,0.3,0.8,280,108,24.3,5.3,2.7,4.5,4.5,-0.8,9.8,6.5,1.9,12.0,3.4
Los Angeles Rams,0,D,3500,LAR,@SEA,26.0,LAR by 2.5,2.8,0.3,0.0,243,107,25.8,2.8,3.3,4.5,4.5,0.1,8.9,6.5,1.9,7.0,2.0
Cincinnati Bengals,,D,3400,CIN,GB,27.0,GB by 3,2.3,0.5,0.5,226,93,23.8,4.8,6.3,6.0,6.0,1.5,10.5,5.0,1.5,4.0,1.2
Jacksonville Jaguars,,D,3300,JAX,TEN,26.5,TEN by 4.5,4.3,1.0,0.8,231,164,23.8,8.5,6.0,3.8,3.8,-2.0,9.5,4.9,1.5,2.0,0.6
Kansas City Chiefs,,D,3300,KC,BUF,27.0,KC by 2.5,1.3,0.5,0.5,259,145,33.5,2.5,3.0,3.5,3.5,0.4,6.6,5.3,1.6,-1.0,-0.3
Seattle Seahawks,,D,3200,SEA,LAR,28.5,LAR by 2.5,0.8,0.5,0.5,298,93,28.8,4.0,3.3,4.0,4.0,1.2,6.8,5.1,1.6,3.0,0.9
Houston Texans,1,D,3200,HOU,NE,24.3,NE by 9,2.5,0.8,1.0,243,69,17.8,9.5,2.3,3.5,3.5,0.1,6.9,5.9,1.8,5.0,1.6
Detroit Lions,,D,3100,DET,@MIN,29.0,MIN by 9,1.8,0.3,0.3,270,112,22.0,3.5,3.0,2.5,2.5,-0.9,5.9,4.0,1.3,7.0,2.3
New York Giants,,D,3000,NYG,@DAL,29.5,DAL by 7,1.8,0.3,0.5,255,166,30.0,2.8,3.3,3.5,3.5,1.6,5.4,4.2,1.4,2.0,0.7
