Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID,DK Ceiling
Sony Michel,LA,JAX,RB,4300,19.9,8.4,39,20388640,28.3
Antonio Gibson,WAS,LV,RB,5700,18.8,4.5,27.5,20388590,26.3
Gardner Minshew II,PHI,NYJ,QB,4000,17,4.4,8.4,20388546,23
Eli Mitchell,SF,SEA,RB,6000,19,4.2,23.1,20388582,25.8
Jonathan Taylor,IND,HOU,RB,9200,25.3,4.1,26,20388558,36.2
Jamaal Williams,DET,MIN,RB,5400,17.7,4,24,20388596,23.5
Alexander Mattison,MIN,DET,RB,7600,21.6,3.6,20.4,20388568,29.4
Foster Moreau,LV,WAS,TE,2700,11.9,3.5,35,20389304,17.9
James Conner,ARI,CHI,RB,5900,17.9,3.2,20,20388586,25.3
Leonard Fournette,TB,ATL,RB,7300,20.7,3.2,17.5,20388570,28.8
Cooper Kupp,LA,JAX,WR,9000,23.4,2.6,28.1,20388828,35.4
Miles Sanders,PHI,NYJ,RB,5200,15.7,2.4,9.1,20388600,22.2
Tom Brady,TB,ATL,QB,7200,24.5,2.3,16,20388487,35
Taylor Heinicke,WAS,LV,QB,5600,19.7,2.3,9,20388496,25.9
Chris Godwin,TB,ATL,WR,6600,18,1.9,23.5,20388848,28.6
David Montgomery,CHI,ARI,RB,5600,15.7,1.6,13.4,20388592,20.4
Tua Tagovailoa,MIA,NYG,QB,5500,18.7,1.6,6.9,20388498,26
Brandon Aiyuk,SF,SEA,WR,5600,15.6,1.5,16.5,20388876,23
Justin Herbert,LAC,CIN,QB,6700,22.2,1.4,12,20388489,30
DeVante Parker,MIA,NYG,WR,3900,12.2,1.4,13.4,20388930,18
Rob Gronkowski,TB,ATL,TE,5300,14.9,1.4,12.3,20389258,23
Joe Mixon,CIN,LAC,RB,8100,20.3,1.3,13.3,20388562,29.2
Dolphins,MIA,NYG,DST,3300,8.8,1.3,22,20389514,14.3
Diontae Johnson,PIT,BAL,WR,6800,17.7,1.2,16.5,20388842,23.4
Lamar Jackson,BAL,PIT,QB,7800,25.1,1.1,11.7,20388484,34.9
Derek Carr,LV,WAS,QB,6000,19.7,1.1,7.5,20388494,27.2
Hunter Renfrow,LV,WAS,WR,5800,15.6,1.1,19.6,20388864,23
Dallas Goedert,PHI,NYJ,TE,4500,13.1,1.1,8.9,20389264,19
Keenan Allen,LAC,CIN,WR,7500,18.8,1,11.1,20388834,26.3
Josh Jacobs,LV,WAS,RB,6000,15.8,0.9,11.1,20388584,23.1
Mike Glennon,NYG,MIA,QB,4000,13.4,0.9,1.6,20388551,18.1
Pat Freiermuth,PIT,BAL,TE,4200,12.2,0.9,3.7,20389266,16.2
Austin Ekeler,LAC,CIN,RB,8300,20.3,0.8,9,20388560,26.6
Josh Reynolds,DET,MIN,WR,3400,10.5,0.7,10.8,20388960,14.9
Myles Gaskin,MIA,NYG,RB,5800,15.1,0.7,10.1,20388588,21.3
Ben Roethlisberger,PIT,BAL,QB,5000,16.2,0.7,1.5,20388507,20.7
Matt Ryan,ATL,TB,QB,5600,18,0.6,2.6,20388497,23.3
Kyle Pitts,ATL,TB,TE,5600,14.7,0.6,7.7,20389254,20.6
Trevor Lawrence,JAX,LA,QB,5100,16.4,0.6,0.6,20388506,24.2
Michael Pittman Jr.,IND,HOU,WR,5700,14.7,0.4,14.1,20388868,22.7
