Tony Pollard,4
Jimmy Garoppolo,4
Ravens ,2
Albert Okwuegbunam,1
Lions ,1
Noah Fant,31
Brandon Aiyuk,21
Ben Roethlisberger,2
Pat Freiermuth,9
Josh Reynolds,2
Ameer Abdullah,45
Cowboys ,6
Chuba Hubbard,3
Diontae Johnson,3
Rex Burkhead,1
Matt Breida,1
Michael Carter,13
Chase Claypool,30
Steelers ,22
Devin Singletary,4
Tua Tagovailoa,1
David Johnson,5
Albert Wilson,16
James O'Shaughnessy,19
Cole Beasley,15
Jets ,9
Michael Gallup,9
Jeff Wilson Jr.,32
Sterling Shepard,2
Teddy Bridgewater,6
Amari Cooper,6
Cordarrelle Patterson,2
Antoine Wesley,24
Kyle Pitts,7
Julio Jones,9
George Kittle,50
Olamide Zaccheaus,1
Melvin Gordon III,21
Cardinals ,1
Marquez Valdes-Scantling,8
Godwin Igwebuike,1
James Robinson,28
49ers ,8
DeVante Parker,44
Robby Anderson,40
Chase Edmonds,18
Packers ,18
Bills ,5
Keelan Cole Sr.,2
Marvin Jones Jr.,3
Saquon Barkley,4
A.J. Green,13
Bengals ,2
Stefon Diggs,127
Aaron Jones,1
Ja'Marr Chase,1
Titans ,21
Deebo Samuel,46
Tyler Boyd,5
Ryan Tannehill,6
Dalton Schultz,11
Mike Gesicki,27
Kenny Golladay,5
Davante Adams,3
DJ Moore,5
Marquise Brown,2
Jaguars ,11
Amon-Ra St. Brown,7
AJ Dillon,17
Tim Patrick,3
Laquon Treadwell,5
Rondale Moore,14
Jerry Jeudy,33
C.J. Uzomah,10
Myles Gaskin,31
Tyler Huntley,1
Dak Prescott,18
Tee Higgins,1
Josh Allen,92
Kyler Murray,19
Laviska Shenault Jr.,16
D'Onta Foreman,4
Kalif Raymond,1
Evan Engram,7
Texans ,18
Rashod Bateman,2
Javonte Williams,2
Ezekiel Elliott,2
Allen Lazard,4
Ray-Ray McCloud III,1
Trevor Lawrence,1
CeeDee Lamb,10
Christian Kirk,23
Dolphins ,5
Broncos ,21
Najee Harris,1
Joe Mixon,6
Mark Andrews,7
Craig Reynolds,15
James Conner,48
