Allen Robinson II,4
Jamaal Williams,1
Matthew Stafford,15
Zack Moss,59
Cole Kmet,19
Justin Fields,42
Lions ,47
David Njoku,1
Noah Fant,5
Eagles ,3
Will Dissly,16
Antonio Gibson,14
Cowboys ,8
Chuba Hubbard,17
Giants ,1
Adam Humphries,32
Odell Beckham Jr.,24
Devin Singletary,36
Steelers ,1
Anthony Miller,1
Clyde Edwards-Helaire,1
Robert Woods,50
Dalvin Cook,17
Darrell Henderson Jr.,39
Seahawks ,2
Cole Beasley,41
Jets ,2
Amari Cooper,19
Cordarrelle Patterson,11
Kyle Pitts,4
Bears ,1
Justin Jefferson,2
George Kittle,65
Tyreek Hill,41
Cardinals ,11
Darnell Mooney,35
Taylor Heinicke,60
Derrick Henry,25
Chase Edmonds,5
Baker Mayfield,2
Packers ,3
Sam Darnold,1
Emmanuel Sanders,9
Vikings ,4
Terry McLaurin,9
Bills ,3
A.J. Green,2
Aaron Jones,1
Stefon Diggs,63
Alvin Kamara,25
Titans ,10
Deebo Samuel,44
Dalton Schultz,1
Mike Gesicki,4
DeVonta Smith,2
Davante Adams,29
DJ Moore,31
Jalen Hurts,2
Mike Davis,21
David Montgomery,1
Falcons ,26
Jacoby Brissett,5
Dak Prescott,4
Mecole Hardman,1
Josh Allen,19
D'Andre Swift,14
Adam Thielen,3
Calvin Ridley,19
Texans ,16
Cooper Kupp,34
Ezekiel Elliott,13
Tyler Higbee,19
CeeDee Lamb,28
Travis Kelce,24
Eli Mitchell,5
Colts ,9
Curtis Samuel,62
Dolphins ,3
Brandin Cooks,2
