"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Derrick Henry","TEN","JAX","RB","9000","25.7","4.8","22.7","19525132","34.7"
"Davante Adams","GB","CIN","WR","8200","23.2","4.0","26.8","19525416","33.0"
"Daniel Jones","NYG","DAL","QB","6000","22.3","3.7","14.7","19525062","30.2"
"Leonard Fournette","TB","MIA","RB","5200","16.6","3.3","28.6","19525188","23.3"
"Trey Lance","SF","ARI","QB","5700","20.9","3.2","9.1","19525066","30.4"
"Jakobi Meyers","NE","HOU","WR","5600","16.9","2.8","18.4","19525466","25.7"
"Derek Carr","LV","CHI","QB","6100","21.6","2.7","7.0","19525060","29.6"
"CeeDee Lamb","DAL","NYG","WR","6200","17.5","2.3","20.9","19525444","27.3"
"Najee Harris","PIT","DEN","RB","6900","19.0","2.3","23.6","19525148","24.2"
"Keenan Allen","LAC","CLE","WR","6500","18.0","2.2","18.8","19525436","25.1"
"D'Andre Swift","DET","MIN","RB","6100","17.2","2.1","19.6","19525156","23.5"
"Dak Prescott","DAL","NYG","QB","6900","23.2","1.9","14.8","19525055","34.4"
"Brandin Cooks","HOU","NE","WR","6100","17.0","1.9","13.1","19525446","22.3"
"Mac Jones","NE","HOU","QB","5300","18.2","1.8","3.1","19525072","25.0"
"Saquon Barkley","NYG","DAL","RB","7300","19.2","1.8","14.7","19525144","26.4"
"Justin Herbert","LAC","CLE","QB","6800","22.7","1.7","5.3","19525056","30.2"
"DJ Moore","CAR","PHI","WR","7500","19.3","1.5","16.7","19525422","28.4"
"Damien Williams","CHI","LV","RB","5600","15.6","1.5","16.3","19525176","20.9"
"Antonio Brown","TB","MIA","WR","5200","14.7","1.4","15.5","19525478","22.3"
"Laviska Shenault Jr.","JAX","TEN","WR","4800","13.8","1.3","13.6","19525502","19.7"
"Tyler Boyd","CIN","GB","WR","5300","14.7","1.2","10.5","19525476","21.0"
"Chris Godwin","TB","MIA","WR","6300","16.7","1.2","16.0","19525442","26.1"
"Chase Edmonds","ARI","SF","RB","5900","15.8","1.1","8.5","19525164","22.1"
"Tee Higgins","CIN","GB","WR","5000","14.1","1.1","10.1","19525488","20.2"
"Marvin Jones Jr.","JAX","TEN","WR","5700","15.4","1.1","8.7","19525462","21.9"
"Amari Cooper","DAL","NYG","WR","6100","16.1","1.0","20.1","19525448","25.3"
"Trevor Lawrence","JAX","TEN","QB","5800","18.9","0.9","1.7","19525064","27.9"
"Kadarius Toney","NYG","DAL","WR","4000","11.8","0.9","5.3","19525538","17.2"
"Ja'Marr Chase","CIN","GB","WR","5800","15.3","0.8","14.1","19525460","22.0"
"Baker Mayfield","CLE","LAC","QB","5500","17.8","0.8","1.3","19525067","26.1"
"Jared Goff","DET","MIN","QB","5300","17.3","0.8","2.7","19525071","22.2"
"Alvin Kamara","NO","WAS","RB","8600","20.8","0.8","12.8","19525136","28.0"
"Evan Engram","NYG","DAL","TE","3200","10.2","0.8","19.4","19525910","14.7"
"Josh Reynolds","TEN","JAX","WR","3300","10.1","0.6","3.0","19525574","15.6"
"Eagles ","PHI","CAR","DST","2200","6.0","0.6","18.1","19526166","10.4"
"Robby Anderson","CAR","PHI","WR","5000","13.4","0.5","5.7","19525484","19.6"
"Tom Brady","TB","MIA","QB","7400","23.3","0.5","8.0","19525052","33.0"
"Taylor Heinicke","WAS","NO","QB","5900","18.7","0.5","2.1","19525063","26.5"
"Curtis Samuel","WAS","NO","WR","3000","9.5","0.5","11.5","19525772","13.8"
"Raiders ","LV","CHI","DST","2900","7.2","0.5","13.1","19526155","12.1"
"Josh Jacobs","LV","CHI","RB","5900","15.1","0.4","3.4","19525166","21.9"
"Darren Waller","LV","CHI","TE","7300","17.8","0.4","7.1","19525876","26.4"
"Adam Thielen","MIN","DET","WR","6600","16.4","0.4","8.2","19525434","25.0"
"Mike Evans","TB","MIA","WR","6800","16.9","0.4","3.5","19525430","25.6"
"Joe Mixon","CIN","GB","RB","6200","15.6","0.3","4.6","19525154","21.4"
"WAS Football Team ","WAS","NO","DST","2300","5.9","0.3","12.5","19526165","10.3"
"Damien Harris","NE","HOU","RB","5500","14.1","0.2","5.5","19525178","20.4"
"Kenny Golladay","NYG","DAL","WR","5900","14.9","0.2","8.3","19525454","22.0"
"Kirk Cousins","MIN","DET","QB","6500","20.2","0.1","4.7","19525058","26.5"
"Vikings ","MIN","DET","DST","3000","7.1","0.1","5.1","19526153","11.9"
"Sam Darnold","CAR","PHI","QB","6600","20.4","0.0","3.7","19525057","30.3"
"Justin Fields","CHI","LV","QB","5200","16.2","0.0","1.0","19525075","24.9"
"Terry McLaurin","WAS","NO","WR","7400","17.7","0.0","5.3","19525424","24.9"
"Ricky Seals-Jones","WAS","NO","TE","2500","8.0","0.0","6.8","19526070","11.5"
"Joe Burrow","CIN","GB","QB","6100","18.8","-0.1","2.7","19525061","25.7"
"Cameron Brate","TB","MIA","TE","3300","9.5","-0.1","6.4","19525906","14.7"
"Cardinals ","ARI","SF","DST","2900","6.7","-0.1","12.5","19526154","11.3"
"Texans ","HOU","NE","DST","2300","5.5","-0.1","8.3","19526164","9.8"
"Kyler Murray","ARI","SF","QB","8000","24.4","-0.2","7.7","19525051","34.4"
"Cowboys ","DAL","NYG","DST","2800","6.4","-0.2","6.2","19526157","10.9"
"Saints ","NO","WAS","DST","3100","6.9","-0.2","2.6","19526152","11.7"
"James Robinson","JAX","TEN","RB","6000","14.6","-0.3","19.1","19525158","21.0"
"Austin Ekeler","LAC","CLE","RB","7600","17.7","-0.3","8.3","19525142","23.5"
"Jalen Hurts","PHI","CAR","QB","7000","21.3","-0.3","4.2","19525054","29.0"
"Diontae Johnson","PIT","DEN","WR","6500","15.5","-0.3","7.0","19525440","20.2"
"Mike Williams","LAC","CLE","WR","7200","16.9","-0.4","2.1","19525426","24.6"
"Jaguars ","JAX","TEN","DST","2100","4.7","-0.4","8.4","19526167","8.7"
"Odell Beckham Jr.","CLE","LAC","WR","6000","14.4","-0.5","1.7","19525452","21.2"
"Teddy Bridgewater","DEN","PIT","QB","5400","16.2","-0.5","0.5","19525069","20.9"
"Aaron Jones","GB","CIN","RB","7900","18.1","-0.5","4.1","19525140","25.1"
"Jaylen Waddle","MIA","TB","WR","4800","12.0","-0.5","11.4","19525500","15.5"
"Dalvin Cook","MIN","DET","RB","8400","19.1","-0.5","5.4","19525138","28.3"
"Ben Roethlisberger","PIT","DEN","QB","5300","15.9","-0.5","0.5","19525070","20.9"
"Steelers ","PIT","DEN","DST","3300","7.1","-0.5","4.2","19526150","11.9"
"Courtland Sutton","DEN","PIT","WR","5500","13.2","-0.6","8.1","19525468","18.7"
"Jared Cook","LAC","CLE","TE","3600","9.5","-0.6","10.6","19525898","14.2"
"Justin Jefferson","MIN","DET","WR","7700","17.6","-0.6","8.0","19525418","27.8"
"George Kittle","SF","ARI","TE","5600","13.5","-0.6","5.9","19525878","19.6"
"Panthers ","CAR","PHI","DST","3400","7.2","-0.6","2.4","19526149","12.1"
"Darnell Mooney","CHI","LV","WR","4700","11.6","-0.7","4.3","19525508","16.2"
"Henry Ruggs III","LV","CHI","WR","5600","13.4","-0.7","0.5","19525464","21.1"
"Deebo Samuel","SF","ARI","WR","7100","16.3","-0.7","7.4","19525428","23.8"
"Ryan Tannehill","TEN","JAX","QB","6400","19.0","-0.8","2.9","19525059","29.2"
"Randall Cobb","GB","CIN","WR","4000","10.1","-0.9","2.1","19525540","16.0"
"Jacoby Brissett","MIA","TB","QB","5200","15.2","-0.9","1.1","19525073","23.7"
"K.J. Osborn","MIN","DET","WR","3800","9.6","-0.9","2.3","19525550","15.7"
"Anthony Firkser","TEN","JAX","TE","3100","8.3","-0.9","3.2","19525916","13.4"
"Mike Gesicki","MIA","TB","TE","4200","10.3","-1.0","9.3","19525894","13.2"
"Tyler Conklin","MIN","DET","TE","3500","9.0","-1.0","6.7","19525900","14.6"
"DeAndre Hopkins","ARI","SF","WR","7600","17.0","-1.1","1.7","19525420","26.1"
"Anthony Miller","HOU","NE","WR","3400","8.6","-1.1","0.5","19525566","10.3"
"Browns ","CLE","LAC","DST","2700","5.3","-1.1","1.5","19526158","9.4"
"Chargers ","LAC","CLE","DST","2700","5.3","-1.1","2.2","19526159","9.4"
"Ezekiel Elliott","DAL","NYG","RB","7000","15.7","-1.2","10.5","19525146","23.9"
"Nelson Agholor","NE","HOU","WR","4400","10.5","-1.2","0.9","19525514","16.6"
"JuJu Smith-Schuster","PIT","DEN","WR","5000","11.7","-1.2","0.6","19525486","16.2"
"Hunter Renfrow","LV","CHI","WR","4900","11.5","-1.3","1.7","19525494","17.6"
"T.J. Hockenson","DET","MIN","TE","5500","12.5","-1.4","3.3","19525880","16.9"
"Aaron Rodgers","GB","CIN","QB","7100","20.5","-1.4","1.6","19525053","29.6"
"Nick Westbrook-Ikhine","TEN","JAX","WR","3700","8.9","-1.4","0.5","19525552","14.0"
"Antonio Gibson","WAS","NO","RB","6400","14.3","-1.4","0.7","19525152","20.2"
"Christian Kirk","ARI","SF","WR","4900","11.2","-1.5","0.5","19525492","18.1"
"Cole Kmet","CHI","LV","TE","2700","6.8","-1.5","3.3","19525938","9.1"
"Dalton Schultz","DAL","NYG","TE","4400","10.2","-1.5","5.1","19525890","16.6"
"Noah Fant","DEN","PIT","TE","4900","11.3","-1.5","1.8","19525886","15.7"
"Patriots ","NE","HOU","DST","4900","9.1","-1.6","0.5","19526144","14.7"
"Titans ","TEN","JAX","DST","3800","6.9","-1.6","0.5","19526147","11.7"
"Melvin Gordon III","DEN","PIT","RB","5300","11.8","-1.7","0.5","19525182","16.4"
"Jonnu Smith","NE","HOU","TE","3300","7.9","-1.7","3.0","19525908","11.9"
"Allen Robinson II","CHI","LV","WR","5500","12.0","-1.9","2.6","19525470","16.7"
"Austin Hooper","CLE","LAC","TE","3200","7.4","-1.9","2.2","19525914","11.1"
"Bengals ","CIN","GB","DST","2500","4.1","-1.9","0.2","19526161","7.8"
"A.J. Green","ARI","SF","WR","5100","11.1","-2.0","0.5","19525480","16.8"
"Nick Chubb","CLE","LAC","RB","6700","14.2","-2.0","4.7","19525150","20.0"
"Brandon Bolden","NE","HOU","RB","4000","8.9","-2.0","0.5","19525394","15.0"
"Maxx Williams","ARI","SF","TE","3400","7.7","-2.1","0.7","19525902","13.2"
"Lions ","DET","MIN","DST","2500","3.9","-2.1","0.2","19526162","7.5"
"49ers ","SF","ARI","DST","2800","4.5","-2.1","0.1","19526156","8.3"
"Chuba Hubbard","CAR","PHI","RB","6000","12.7","-2.2","6.2","19525160","17.9"
"Kareem Hunt","CLE","LAC","RB","5800","12.3","-2.2","4.1","19525168","18.1"
"Rashard Higgins","CLE","LAC","WR","4300","9.4","-2.2","0.5","19525520","15.0"
