"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Jalen Hurts","PHI","DET","QB","8400","24.8","4.9","17.0","65904-69531","33.9"
"D'Andre Swift","DET","PHI","RB","7900","18.4","4.8","23.8","65904-91598","26.1"
"Josh Allen","BUF","MIA","QB","8800","25.6","4.6","19.6","65904-62239","36.9"
"Darrell Henderson Jr.","LA","HOU","RB","7700","17.6","4.4","28.3","65904-70157","25.6"
"Justin Herbert","LAC","NE","QB","7900","22.4","4.0","12.2","65904-69189","30.2"
"Cooper Kupp","LA","HOU","WR","9200","20.1","3.9","22.9","65904-79970","29.4"
"Joe Mixon","CIN","NYJ","RB","7600","16.7","3.6","20.0","65904-52442","24.2"
"Eli Mitchell","SF","CHI","RB","5800","13.1","3.6","27.3","65904-92413","18.2"
"Alvin Kamara","NO","TB","RB","8400","18.1","3.5","18.4","65904-42104","25.1"
"Matthew Stafford","LA","HOU","QB","8200","22.6","3.3","12.0","65904-6654","31.0"
"Stefon Diggs","BUF","MIA","WR","7300","15.5","3.0","25.1","65904-25079","23.5"
"Brandin Cooks","HOU","LA","WR","6000","12.7","2.8","18.5","65904-29501","16.2"
"Chuba Hubbard","CAR","ATL","RB","6600","13.7","2.6","18.0","65904-87467","19.1"
"Cordarrelle Patterson","ATL","CAR","RB","7300","14.9","2.5","16.6","65904-30733","21.7"
"Myles Gaskin","MIA","BUF","RB","5700","11.8","2.5","8.5","65904-60930","16.1"
"Chris Godwin","TB","NO","WR","7200","14.7","2.4","18.9","65904-55635","21.6"
"A.J. Brown","TEN","IND","WR","7600","15.4","2.4","16.0","65904-72846","22.4"
"Tom Brady","TB","NO","QB","8300","21.9","2.3","8.0","65904-6498","30.4"
"Trevor Lawrence","JAX","SEA","QB","6700","16.9","2.2","3.4","65904-89951","23.2"
"Matt Ryan","ATL","CAR","QB","7200","18.3","2.1","5.2","65904-6616","24.5"
"Tee Higgins","CIN","NYJ","WR","6300","12.4","2.0","15.0","65904-89981","18.6"
"Deebo Samuel","SF","CHI","WR","7800","15.4","2.0","14.9","65904-56018","21.3"
"Teddy Bridgewater","DEN","WAS","QB","7000","17.5","1.9","2.7","65904-33259","23.3"
"Zack Moss","BUF","MIA","RB","6100","11.8","1.8","5.6","65904-70027","18.0"
"Carson Wentz","IND","TEN","QB","7200","18.1","1.8","2.9","65904-70324","25.3"
"Jonathan Taylor","IND","TEN","RB","8500","16.6","1.8","12.3","65904-89675","24.1"
"Los Angeles Rams","LA","HOU","D","5000","9.7","1.8","11.2","65904-12538","15.6"
"Mike Davis","ATL","CAR","RB","5500","10.6","1.7","3.4","65904-30635","15.7"
"Kyle Pitts","ATL","CAR","TE","6800","13.1","1.6","20.0","65904-86080","19.1"
"Michael Carter","NYJ","CIN","RB","5700","10.9","1.6","11.7","65904-93539","15.3"
"Mike Evans","TB","NO","WR","7500","14.4","1.6","13.0","65904-32384","21.5"
"Jakobi Meyers","NE","LAC","WR","5700","10.8","1.5","12.5","65904-63634","15.5"
"DJ Moore","CAR","ATL","WR","7700","14.7","1.4","18.5","65904-63043","20.2"
"Baker Mayfield","CLE","PIT","QB","6500","15.5","1.4","0.5","65904-41535","22.1"
"Melvin Gordon III","DEN","WAS","RB","6000","11.3","1.4","3.4","65904-28900","16.8"
"Leonard Fournette","TB","NO","RB","7200","13.6","1.4","8.5","65904-52922","19.1"
"Antonio Gibson","WAS","DEN","RB","6200","11.7","1.4","7.4","65904-90933","16.6"
"Atlanta Falcons","ATL","CAR","D","4000","7.4","1.4","5.0","65904-12525","12.3"
"Cincinnati Bengals","CIN","NYJ","D","4900","9.1","1.4","7.3","65904-12528","14.6"
"Joe Burrow","CIN","NYJ","QB","7800","19.4","1.3","4.0","65904-63336","27.0"
"Seattle Seahawks","SEA","JAX","D","4300","7.8","1.3","4.7","65904-12550","12.9"
"Nick Chubb","CLE","PIT","RB","8000","15.0","1.2","10.1","65904-53562","21.2"
"Keenan Allen","LAC","NE","WR","6900","12.9","1.2","15.5","65904-29253","18.9"
"DeVonta Smith","PHI","DET","WR","6200","11.5","1.2","14.0","65904-90576","17.3"
"Ryan Tannehill","TEN","IND","QB","7500","18.3","1.2","1.9","65904-21948","25.3"
"Derrick Henry","TEN","IND","RB","10500","20.0","1.2","7.0","65904-39280","27.3"
"Taylor Heinicke","WAS","DEN","QB","7000","16.8","1.2","1.5","65904-53331","21.3"
"Buffalo Bills","BUF","MIA","D","4700","8.5","1.2","7.8","65904-12526","13.9"
"Javonte Williams","DEN","WAS","RB","5900","10.8","1.1","3.8","65904-93541","16.0"
"David Johnson","HOU","LA","RB","5100","9.2","1.1","4.9","65904-62497","13.0"
"Kenneth Gainwell","PHI","DET","RB","5900","10.7","1.0","8.4","65904-90912","16.5"
"Cleveland Browns","CLE","PIT","D","4000","6.9","1.0","9.7","65904-12529","11.7"
"Denver Broncos","DEN","WAS","D","4100","7.2","1.0","2.6","65904-12531","12.0"
"Jacksonville Jaguars","JAX","SEA","D","3500","6.0","1.0","8.5","65904-12554","10.4"
"San Francisco 49ers","SF","CHI","D","4600","8.1","1.0","5.6","65904-12549","13.4"
"Washington Football Team","WAS","DEN","D","3400","5.8","1.0","7.2","65904-12552","10.1"
"Chicago Bears","CHI","SF","D","3700","6.2","0.9","7.4","65904-12527","10.7"
"Sam Darnold","CAR","ATL","QB","7300","17.4","0.8","1.7","65904-63589","24.7"
"Mike Williams","LAC","NE","WR","7600","13.9","0.8","8.1","65904-39829","20.8"
"Damien Harris","NE","LAC","RB","6900","12.5","0.8","7.0","65904-64576","17.8"
"Ben Roethlisberger","PIT","CLE","QB","6600","15.2","0.8","0.7","65904-6589","19.2"
"Detroit Lions","DET","PHI","D","3200","5.2","0.8","7.7","65904-12532","9.2"
"Justin Fields","CHI","SF","QB","6400","14.5","0.7","0.8","65904-91591","20.4"
"Jared Goff","DET","PHI","QB","6800","15.7","0.7","2.9","65904-38435","20.6"
"Michael Pittman Jr.","IND","TEN","WR","6600","11.8","0.7","11.0","65904-69213","17.8"
"Robby Anderson","CAR","ATL","WR","5700","9.9","0.6","7.9","65904-26251","14.3"
"Ja'Marr Chase","CIN","NYJ","WR","8200","14.8","0.6","10.1","65904-85701","22.2"
"Terry McLaurin","WAS","DEN","WR","7400","13.2","0.6","5.2","65904-56250","18.2"
"Los Angeles Chargers","LAC","NE","D","3900","6.3","0.6","3.9","65904-12548","10.8"
"New York Jets","NYJ","CIN","D","3000","4.6","0.6","8.7","65904-12544","8.4"
"Mac Jones","NE","LAC","QB","6900","15.9","0.5","1.2","65904-90584","20.8"
"Chase Claypool","PIT","CLE","WR","6500","11.3","0.5","7.2","65904-73111","15.7"
"Kalif Raymond","DET","PHI","WR","5700","9.7","0.4","2.9","65904-70422","14.4"
"Austin Ekeler","LAC","NE","RB","8700","15.6","0.4","6.2","65904-80001","22.5"
"Jamison Crowder","NYJ","CIN","WR","5600","9.5","0.4","6.4","65904-24755","12.3"
"Najee Harris","PIT","CLE","RB","9000","16.2","0.4","3.2","65904-90575","21.9"
"Tampa Bay Buccaneers","TB","NO","D","4200","6.8","0.4","1.7","65904-12551","11.5"
"James Robinson","JAX","SEA","RB","8200","14.5","0.3","4.1","65904-130288","20.3"
"Philadelphia Eagles","PHI","DET","D","4100","6.5","0.3","1.7","65904-12545","11.1"
"Allen Robinson II","CHI","SF","WR","5600","9.3","0.2","1.4","65904-28643","12.8"
"Emmanuel Sanders","BUF","MIA","WR","6700","11.3","0.1","4.3","65904-11505","18.5"
"Jarvis Landry","CLE","PIT","WR","6000","9.9","0.1","1.5","65904-31394","14.8"
"Dallas Goedert","PHI","DET","TE","5900","9.8","0.1","14.8","65904-83074","15.2"
"Robert Woods","LA","HOU","WR","6800","11.5","0.0","12.9","65904-29685","18.2"
"Tyler Higbee","LA","HOU","TE","5300","8.5","0.0","18.9","65904-47870","14.8"
"Amon-Ra St. Brown","DET","PHI","WR","5100","8.0","-0.1","1.7","65904-86997","12.0"
"Russell Gage","ATL","CAR","WR","5600","8.9","-0.2","4.0","65904-52916","13.5"
"Devin Singletary","BUF","MIA","RB","5500","8.7","-0.2","0.5","65904-70603","13.8"
"T.J. Hockenson","DET","PHI","TE","6200","10.1","-0.2","10.9","65904-71706","14.4"
"Marvin Jones Jr.","JAX","SEA","WR","6400","10.5","-0.2","3.0","65904-22103","14.9"
"Marquez Callaway","NO","TB","WR","5900","9.5","-0.2","2.4","65904-71246","14.1"
"Diontae Johnson","PIT","CLE","WR","7500","12.6","-0.2","4.8","65904-66008","16.8"
"Alex Collins","SEA","JAX","RB","7000","11.6","-0.2","1.6","65904-40843","16.5"
"Indianapolis Colts","IND","TEN","D","3800","5.3","-0.2","2.0","65904-12535","9.5"
"Odell Beckham Jr.","CLE","PIT","WR","5700","9.0","-0.3","0.5","65904-31360","13.6"
"Jameis Winston","NO","TB","QB","7400","16.5","-0.3","1.4","65904-24849","23.2"
"Ricky Seals-Jones","WAS","DEN","TE","5400","8.4","-0.3","5.2","65904-40977","12.3"
"Tyler Boyd","CIN","NYJ","WR","5800","9.1","-0.4","3.6","65904-40669","14.2"
"Jerry Jeudy","DEN","WAS","WR","6000","9.4","-0.4","1.5","65904-90561","14.2"
"Noah Fant","DEN","WAS","TE","5800","9.1","-0.4","5.6","65904-71705","13.7"
"Van Jefferson Jr.","LA","HOU","WR","5700","8.9","-0.4","2.0","65904-64581","15.5"
"J.D. McKissic","WAS","DEN","RB","5400","8.3","-0.4","1.3","65904-43334","12.6"
"Dan Arnold","JAX","SEA","TE","4900","7.2","-0.5","4.4","65904-80546","10.7"
"Cole Beasley","BUF","MIA","WR","6100","9.4","-0.7","3.1","65904-22288","15.5"
"Jared Cook","LAC","NE","TE","5200","7.6","-0.7","5.9","65904-7761","12.8"
"DK Metcalf","SEA","JAX","WR","7400","12.0","-0.7","4.9","65904-73048","17.5"
"Darnell Mooney","CHI","SF","WR","5700","8.5","-0.8","0.5","65904-69777","11.5"
"Cole Kmet","CHI","SF","TE","4700","6.5","-0.8","2.6","65904-91047","9.1"
"Zach Pascal","IND","TEN","WR","5300","7.7","-0.8","0.5","65904-53390","12.7"
"Tua Tagovailoa","MIA","BUF","QB","7100","15.2","-0.8","0.6","65904-90572","20.7"
"Khalil Herbert","CHI","SF","RB","6500","9.9","-0.9","7.4","65904-72412","14.0"
"Tyler Lockett","SEA","JAX","WR","6600","10.2","-0.9","1.0","65904-27050","15.0"
"Pat Freiermuth","PIT","CLE","TE","4900","6.7","-1.0","7.3","65904-86244","9.7"
"Geno Smith","SEA","JAX","QB","7000","14.6","-1.0","0.9","65904-26483","20.7"
"New England Patriots","NE","LAC","D","3800","4.5","-1.0","0.5","65904-12541","8.3"
"New Orleans Saints","NO","TB","D","3600","4.2","-1.0","0.5","65904-12542","7.9"
"Jamal Agnew","JAX","SEA","WR","5300","7.4","-1.1","0.5","65904-79979","11.0"
"Courtland Sutton","DEN","WAS","WR","7100","10.8","-1.2","0.9","65904-57403","16.2"
"DeVante Parker","MIA","BUF","WR","5700","8.1","-1.2","0.5","65904-33260","10.9"
"Nelson Agholor","NE","LAC","WR","5400","7.5","-1.2","0.5","65904-29683","11.8"
"Miami Dolphins","MIA","BUF","D","3100","2.9","-1.2","0.1","65904-12539","6.2"
"Damien Williams","CHI","SF","RB","5500","7.6","-1.3","0.5","65904-27441","11.4"
"Boston Scott","PHI","DET","RB","5800","8.2","-1.3","1.0","65904-43433","13.1"
"Laviska Shenault Jr.","JAX","SEA","WR","5800","8.1","-1.4","3.0","65904-87859","11.5"
"Carolina Panthers","CAR","ATL","D","4400","5.4","-1.4","0.5","65904-12553","9.5"
"Jermar Jefferson","DET","PHI","RB","4500","5.4","-1.5","1.1","65904-93023","8.9"
"Jaylen Waddle","MIA","BUF","WR","6400","9.2","-1.5","0.5","65904-90573","12.0"
"Elijah Moore","NYJ","CIN","WR","5200","6.8","-1.5","0.5","65904-88575","9.2"
"Pittsburgh Steelers","PIT","CLE","D","4800","6.0","-1.5","0.5","65904-12547","10.4"
"Davis Mills","HOU","LA","QB","6300","11.9","-1.6","0.1","65904-89628","15.9"
"Ty Johnson","NYJ","CIN","RB","5300","6.9","-1.6","0.5","65904-63050","10.4"
"Tennessee Titans","TEN","IND","D","3900","4.2","-1.6","0.5","65904-12534","7.9"
"Olamide Zaccheaus","ATL","CAR","WR","5100","6.3","-1.8","0.5","65904-64496","10.7"
"Mike Gesicki","MIA","BUF","TE","6300","8.7","-1.8","0.8","65904-56265","11.8"
"Nico Collins","HOU","LA","WR","5100","6.2","-1.9","0.5","65904-91419","8.4"
"Jimmy Garoppolo","SF","CHI","QB","6900","13.4","-1.9","0.5","65904-54604","16.6"
"Tyler Johnson","TB","NO","WR","4900","5.8","-1.9","0.5","65904-68712","10.4"
"Nick Westbrook-Ikhine","TEN","IND","WR","4900","5.8","-1.9","0.5","65904-64389","9.7"
"Nyheim Hines","IND","TEN","RB","5600","7.1","-2.0","0.5","65904-63625","11.8"
"Mo Alie-Cox","IND","TEN","TE","5100","6.1","-2.0","0.5","65904-24533","10.8"
"Hunter Henry","NE","LAC","TE","5500","6.9","-2.0","3.1","65904-40845","10.7"
"Rob Gronkowski","TB","NO","TE","6500","8.8","-2.0","3.2","65904-11460","14.3"
"Tommy Sweeney","BUF","MIA","TE","4300","4.5","-2.1","1.9","65904-56212","9.6"
"Keith Kirkwood","CAR","ATL","WR","4800","5.4","-2.1","0.5","65904-45997","8.8"
"Phillip Lindsay","HOU","LA","RB","4700","5.3","-2.1","0.5","65904-41426","7.7"
"Jordan Akins","HOU","LA","TE","4600","5.0","-2.1","0.5","65904-57338","6.9"
"Houston Texans","HOU","LA","D","3300","2.5","-2.1","0.0","65904-12556","5.5"
"Sony Michel","LA","HOU","RB","5200","6.1","-2.2","0.5","65904-53640","10.6"
"Jonnu Smith","NE","LAC","TE","4800","5.3","-2.2","0.9","65904-48116","8.9"
"Quez Watkins","PHI","DET","WR","5300","6.3","-2.2","0.6","65904-73687","10.9"
"Brandon Bolden","NE","LAC","RB","5500","6.6","-2.3","0.5","65904-22898","10.8"
"Hayden Hurst","ATL","CAR","TE","4700","4.9","-2.4","0.5","65904-64031","8.8"
"David Njoku","CLE","PIT","TE","4700","4.9","-2.4","0.5","65904-55335","8.6"
"Adam Trautman","NO","TB","TE","4500","4.5","-2.5","0.5","65904-130270","7.7"
"Freddie Swain","SEA","JAX","WR","5000","5.4","-2.5","0.5","65904-69303","9.1"
"JaMycal Hasty","SF","CHI","RB","5000","5.3","-2.6","0.5","65904-65724","8.7"
"Albert Okwuegbunam","DEN","WAS","TE","4200","3.6","-2.7","0.0","65904-70859","7.1"
"Marcus Johnson","TEN","IND","WR","4800","4.8","-2.7","0.5","65904-32235","8.6"
"Gabriel Davis","BUF","MIA","WR","4700","4.5","-2.8","0.5","65904-94534","9.8"
"Ian Thomas","CAR","ATL","TE","4300","3.7","-2.8","0.2","65904-72515","6.7"
"Salvon Ahmed","MIA","BUF","RB","5100","5.3","-2.8","0.5","65904-86780","7.8"
"Jalen Reagor","PHI","DET","WR","5500","6.0","-2.8","0.5","65904-94625","10.5"
"KhaDarel Hodge","DET","PHI","WR","4800","4.6","-2.9","0.5","65904-85306","8.0"
"Kenny Stills","NO","TB","WR","4900","4.8","-2.9","0.5","65904-27457","8.2"
"Gerald Everett","SEA","JAX","TE","4800","4.6","-2.9","0.5","65904-57299","8.2"
"Austin Hooper","CLE","PIT","TE","4800","4.5","-3.0","0.5","65904-40126","8.0"
"T.Y. Hilton","IND","TEN","WR","6200","7.2","-3.0","0.6","65904-22031","12.3"
"Jalen Guyton","LAC","NE","WR","4800","4.5","-3.0","0.5","65904-64843","9.0"
"Keelan Cole Sr.","NYJ","CIN","WR","5000","4.9","-3.0","0.5","65904-79998","7.0"
"Mohamed Sanu","SF","CHI","WR","5000","4.8","-3.1","0.5","65904-22018","8.1"
"Jeremy McNichols","TEN","IND","RB","5000","4.8","-3.1","0.5","65904-56648","8.0"
