"Player","Team","Opponent","Y Position","Y Salary","Y Projection","Y Value","Y Ceiling","YSlateID"
"D'Andre Swift","DET","PHI","RB","22","18.4","8.3","26.1","3176766"
"Darrell Henderson Jr.","LA","HOU","RB","23","17.6","7.2","25.6","3176858"
"Cordarrelle Patterson","ATL","CAR","RB","17","14.9","6.3","21.7","3176608"
"Cooper Kupp","LA","HOU","WR","36","20.1","5.8","29.4","3176854"
"Najee Harris","PIT","CLE","RB","25","16.2","5.2","21.9","3176713"
"Jalen Hurts","PHI","DET","QB","33","24.8","4.8","33.9","3176748"
"Derrick Henry","TEN","IND","RB","39","20.0","4.8","27.3","3176778"
"Brandin Cooks","HOU","LA","WR","15","12.7","4.7","16.2","3176871"
"Alvin Kamara","NO","TB","RB","33","18.1","4.7","25.1","3177028"
"A.J. Brown","TEN","IND","WR","24","15.4","4.7","22.4","3176786"
"Chuba Hubbard","CAR","ATL","RB","19","13.7","4.5","19.1","3176604"
"Joe Mixon","CIN","NYJ","RB","29","16.7","4.5","24.2","3176821"
"DJ Moore","CAR","ATL","WR","23","14.7","4.3","20.2","3176598"
"Jakobi Meyers","NE","LAC","WR","10","10.8","4.3","15.5","3176898"
"Tee Higgins","CIN","NYJ","WR","16","12.4","4.1","18.6","3176827"
"Myles Gaskin","MIA","BUF","RB","14","11.8","4.1","16.1","3176636"
"Mike Davis","ATL","CAR","RB","11","10.6","3.8","15.7","3176610"
"Chris Godwin","TB","NO","WR","25","14.7","3.7","21.6","3177013"
"Eli Mitchell","SF","CHI","RB","20","13.1","3.6","18.2","3176676"
"Deebo Samuel","SF","CHI","WR","28","15.4","3.5","21.3","3176670"
"Mike Evans","TB","NO","WR","25","14.4","3.4","21.5","3177008"
"Kyle Pitts","ATL","CAR","TE","21","13.1","3.3","19.1","3176619"
"Michael Carter","NYJ","CIN","RB","14","10.9","3.2","15.3","3176847"
"DeVonta Smith","PHI","DET","WR","16","11.5","3.2","17.3","3176750"
"Leonard Fournette","TB","NO","RB","23","13.6","3.2","19.1","3177011"
"Robby Anderson","CAR","ATL","WR","11","9.9","3.1","14.3","3176592"
"Antonio Gibson","WAS","DEN","RB","17","11.7","3.1","16.6","3176973"
"Stefon Diggs","BUF","MIA","WR","30","15.5","3.0","23.5","3176648"
"Alex Collins","SEA","JAX","RB","17","11.6","3.0","16.5","3176949"
"Zack Moss","BUF","MIA","RB","18","11.8","2.9","18.0","3176657"
"Matt Ryan","ATL","CAR","QB","24","18.3","2.8","24.5","3176606"
"Nick Chubb","CLE","PIT","RB","29","15.0","2.8","21.2","3176725"
"David Johnson","HOU","LA","RB","10","9.2","2.7","13.0","3176873"
"Josh Allen","BUF","MIA","QB","39","25.6","2.6","36.9","3176653"
"Jonathan Taylor","IND","TEN","RB","35","16.6","2.6","24.1","3176805"
"Keenan Allen","LAC","NE","WR","23","12.9","2.5","18.9","3176909"
"Terry McLaurin","WAS","DEN","WR","24","13.2","2.5","18.2","3176972"
"Kalif Raymond","DET","PHI","WR","13","9.7","2.3","14.4","3176757"
"Robert Woods","LA","HOU","WR","19","11.5","2.3","18.2","3176852"
"Marvin Jones Jr.","JAX","SEA","WR","16","10.5","2.2","14.9","3176926"
"Austin Ekeler","LAC","NE","RB","33","15.6","2.2","22.5","3176912"
"Diontae Johnson","PIT","CLE","WR","23","12.6","2.2","16.8","3176708"
"Melvin Gordon III","DEN","WAS","RB","19","11.3","2.1","16.8","3176984"
"Matthew Stafford","LA","HOU","QB","34","22.6","2.1","31.0","3176851"
"Van Jefferson Jr.","LA","HOU","WR","11","8.9","2.1","15.5","3176859"
"Damien Harris","NE","LAC","RB","23","12.5","2.1","17.8","3176897"
"Jamison Crowder","NYJ","CIN","WR","13","9.5","2.1","12.3","3176834"
