"Player","Team","Opp","Minutes","DK Position","DK Salary","DK Points","DK Value","DK Ceiling","DK Own","DK Slate"
"LaMelo Ball","CHA","LAL","35.0","PG/SG","8,400","50.6","11.0","60.2","46.6","MAIN"
"Russell Westbrook","LAL","CHA","34.5","PG","8,600","50.8","10.4","60.9","29.4","MAIN"
"Guillermo Hernangómez","NOP","DEN","28.0","C","5,100","36.3","9.9","44.0","34.2","MAIN"
"Jusuf Nurkic","POR","HOU","32.0","C","8,000","46.5","8.5","55.4","18.6","MAIN"
"Jaylen Nowell","MIN","PHX","30.0","PG/SG","4,000","30.3","8.3","37.1","0.0","MAIN"
"Nickeil Alexander-Walker","NOP","DEN","30.0","PG/SG","4,400","31.5","7.9","39.6","30.6","MAIN"
"Nikola Jokic","DEN","NOP","35.0","C","12,600","63.7","7.3","72.6","5.6","MAIN"
"Hassan Whiteside","UTA","MEM","32.0","C","6,900","40.0","6.4","47.5","11.8","MAIN"
"Norman Powell","POR","HOU","35.5","SG/SF","6,100","36.1","5.7","43.6","26.2","MAIN"
"Anfernee Simons","POR","HOU","36.0","PG","6,800","38.7","5.5","46.8","19.2","MAIN"
"Cameron Johnson","PHX","MIN","35.0","SF/PF","4,700","30.0","5.2","36.7","55.0","MAIN"
"Devin Booker","PHX","MIN","37.5","PG/SG","9,900","50.7","5.1","60.0","21.0","MAIN"
"CJ McCollum","POR","HOU","36.5","PG/SG","7,300","40.1","4.9","47.2","31.8","MAIN"
"DeMar DeRozan","CHI","SAS","36.0","PF","8,500","44.8","4.8","52.0","11.8","MAIN"
"Miles Bridges","CHA","LAL","36.0","SF/PF","7,600","41.2","4.8","49.1","30.0","MAIN"
"Anthony Edwards","MIN","PHX","36.0","SG/SF","7,900","42.3","4.7","51.2","0.8","MAIN"
"Ja Morant","MEM","UTA","36.0","PG","10,300","51.9","4.7","60.8","10.0","MAIN"
"Bam Adebayo","MIA","LAC","33.0","C","7,500","40.6","4.6","48.0","5.2","MAIN"
"Zach LaVine","CHI","SAS","36.0","SG/SF","8,300","43.7","4.5","51.4","14.2","MAIN"
"Carmelo Anthony","LAL","CHA","27.0","PF","4,400","28.1","4.5","35.5","29.2","MAIN"
"Dejounte Murray","SAS","CHI","36.0","PG","10,000","50.4","4.4","58.9","9.4","MAIN"
"Monte Morris","DEN","NOP","31.5","PG","4,400","27.8","4.2","34.4","0.0","MAIN"
"Eric Gordon","HOU","POR","32.0","SG/SF","4,800","29.3","4.1","36.3","14.0","MAIN"
"Josh Hart","NOP","DEN","35.0","SG/SF","6,500","36.1","4.1","43.5","18.6","MAIN"
"Keldon Johnson","SAS","CHI","33.0","PF","5,100","30.4","4.0","37.0","9.2","MAIN"
"Herbert Jones","NOP","DEN","34.0","PF/C","4,900","28.7","3.1","36.2","9.6","MAIN"
"Jimmy Butler","MIA","LAC","34.5","SF/PF","8,700","43.7","2.9","51.9","9.8","MAIN"
"Derrick White","SAS","CHI","33.0","PG/SG","6,100","33.3","2.9","40.7","14.8","MAIN"
"Desmond Bane","MEM","UTA","32.0","SG/SF","6,100","33.3","2.9","40.4","9.2","MAIN"
"Cody Martin","CHA","LAL","35.0","SG/SF","4,400","26.4","2.8","33.9","10.8","MAIN"
"Talen Horton-Tucker","LAL","CHA","23.0","SF","3,600","23.2","2.8","31.7","39.8","MAIN"
"Bismack Biyombo","PHX","MIN","30.0","C","5,800","31.9","2.7","39.8","5.4","MAIN"
"Stanley Johnson","LAL","CHA","29.0","PF","3,400","22.3","2.7","30.7","12.0","MAIN"
"Cole Anthony","ORL","DET","32.0","PG","6,800","35.6","2.4","43.7","6.8","MAIN"
"Terry Rozier","CHA","LAL","35.0","PG/SG","7,600","38.7","2.3","46.9","16.4","MAIN"
"Karl-Anthony Towns","MIN","PHX","35.0","C","9,500","46.3","2.3","54.6","1.0","MAIN"
"Tyler Herro","MIA","LAC","32.0","PG/SG","6,400","33.8","2.2","41.3","7.0","MAIN"
"Jakob Poeltl","SAS","CHI","29.0","C","6,400","33.7","2.1","41.1","7.2","MAIN"
"Steven Adams","MEM","UTA","27.0","C","4,700","26.9","2.1","34.4","0.6","MAIN"
"Devonte' Graham","NOP","DEN","32.0","PG","5,200","28.9","2.1","36.3","4.4","MAIN"
"Chris Paul","PHX","MIN","35.0","PG","9,000","44.0","2.0","52.4","6.4","MAIN"
"Wayne Ellington","LAL","CHA","27.5","SG","3,000","19.8","1.8","26.6","0.0","MAIN"
"Christian Wood","HOU","POR","31.0","C","8,200","40.5","1.7","48.1","3.2","MAIN"
"Jalen Suggs","ORL","DET","33.0","PG/SG","6,100","32.0","1.6","40.9","6.8","MAIN"
"Nikola Vucevic","CHI","SAS","35.0","C","9,600","45.9","1.5","53.2","3.6","MAIN"
"Jae'Sean Tate","HOU","POR","27.0","PF","5,400","29.0","1.4","37.0","2.8","MAIN"
"Garrison Mathews","HOU","POR","29.0","SF","3,600","21.7","1.3","28.3","3.6","MAIN"
"Robert Covington","POR","HOU","34.0","PF/C","5,500","29.3","1.3","36.9","1.2","MAIN"
"Isaiah Stewart","DET","ORL","25.5","C","4,300","24.5","1.3","31.7","1.2","MAIN"
"Mason Plumlee","CHA","LAL","26.5","C","4,100","23.7","1.3","30.9","4.0","MAIN"
"DeAndre Jordan","LAL","CHA","18.0","C","3,000","19.2","1.2","26.8","1.0","MAIN"
"Jalen Green","HOU","POR","31.0","PG/SG","4,100","23.5","1.1","30.8","9.0","MAIN"
"Devin Vassell","SAS","CHI","27.0","SG/SF","4,000","23.0","1.0","29.9","7.8","MAIN"
"Wendell Carter Jr.","ORL","DET","30.0","PF/C","6,700","33.7","0.9","41.3","5.6","MAIN"
"Jarred Vanderbilt","MIN","PHX","30.0","PF/C","5,300","28.0","0.8","36.0","2.4","MAIN"
"PJ Washington","CHA","LAL","27.5","PF/C","5,000","26.8","0.8","34.6","16.4","MAIN"
"Josh Giddey","OKC","IND","32.0","PG/SG","7,300","36.0","0.8","44.4","0.6","MAIN"
"Cade Cunningham","DET","ORL","33.0","PG/SG","7,700","37.6","0.8","47.1","2.2","MAIN"
"Alperen Sengun","HOU","POR","17.0","C","3,500","20.7","0.7","28.9","0.6","MAIN"
"Mo Bamba","ORL","DET","26.0","C","5,200","27.5","0.7","34.9","0.6","MAIN"
"Malik Beasley","MIN","PHX","27.0","SG","3,800","21.9","0.7","28.9","0.0","MAIN"
"KJ Martin","HOU","POR","23.0","PF/C","3,700","21.4","0.6","28.2","1.4","MAIN"
"Terance Mann","LAC","MIA","30.0","SF/PF","4,000","22.6","0.6","29.1","5.4","MAIN"
"Franz Wagner","ORL","DET","33.0","SF","5,600","29.0","0.6","36.0","5.0","MAIN"
"James Bouknight","CHA","LAL","23.0","PG/SG","3,300","19.7","0.5","27.2","9.4","MAIN"
"Jaxson Hayes","NOP","DEN","21.0","C","3,700","21.3","0.5","28.4","1.6","MAIN"
"Mikal Bridges","PHX","MIN","37.0","SG/SF","5,700","29.2","0.4","35.9","0.2","MAIN"
"Josh Christopher","HOU","POR","22.0","SG/SF","3,200","18.9","0.1","26.9","7.2","MAIN"
"Doug McDermott","SAS","CHI","25.0","SG/SF","3,500","19.8","-0.2","26.0","0.6","MAIN"
"Tre Mann","OKC","IND","24.0","PG/SG","3,200","18.6","-0.2","25.5","0.0","MAIN"
"Jaren Jackson Jr.","MEM","UTA","29.5","PF/C","6,700","32.5","-0.3","40.3","1.0","MAIN"
"Donte DiVincenzo","MIL","NYK","24.0","PG/SG","3,800","20.8","-0.4","28.4","0.0","MAIN"
"Giannis Antetokounmpo","MIL","NYK","33.0","PF/C","11,800","52.7","-0.5","61.2","2.8","MAIN"
"Shai Gilgeous-Alexander","OKC","IND","35.0","PG","9,300","42.6","-0.6","51.5","4.6","MAIN"
"Bobby Portis","MIL","NYK","31.0","C","6,500","31.4","-0.6","38.5","0.2","MAIN"
"Luke Kennard","LAC","MIA","29.0","SG","4,500","23.4","-0.6","30.4","0.6","MAIN"
"Saddiq Bey","DET","ORL","32.0","SF/PF","6,200","30.1","-0.7","37.6","3.0","MAIN"
"Jordan Clarkson","UTA","MEM","29.5","PG/SG","7,200","34.0","-0.8","41.8","1.2","MAIN"
"Avery Bradley","LAL","CHA","28.0","SG/SF","3,200","18.0","-0.8","25.2","0.4","MAIN"
"De'Anthony Melton","MEM","UTA","23.0","PG/SG","4,500","23.2","-0.8","31.4","0.0","MAIN"
"Ivica Zubac","LAC","MIA","25.0","C","4,700","23.9","-0.9","31.1","0.0","MAIN"
"Jalen Smith","PHX","MIN","18.0","PF/C","3,400","18.7","-0.9","26.2","1.2","MAIN"
"Jaylen Brown","BOS","ATL","35.5","SG/SF","8,900","40.5","-1.1","48.7","2.4","MAIN"
"Luguentz Dort","OKC","IND","31.0","SF/PF","5,400","26.2","-1.4","33.4","0.8","MAIN"
"Jayson Tatum","BOS","ATL","36.0","SF/PF","10,100","45.0","-1.4","53.1","1.8","MAIN"
"Julius Randle","NYK","MIL","35.0","PF","9,200","41.3","-1.5","49.3","0.4","MAIN"
"Kenrich Williams","OKC","IND","22.0","SF/PF","3,700","19.2","-1.6","26.3","2.6","MAIN"
"Khris Middleton","MIL","NYK","34.0","SF","8,400","37.8","-1.8","45.5","0.0","MAIN"
"Jeremiah Robinson-Earl","OKC","IND","23.5","C","3,800","19.4","-1.8","26.3","0.0","MAIN"
"Bojan Bogdanovic","UTA","MEM","32.5","SF/PF","6,700","31.0","-1.8","38.8","0.6","MAIN"
"Trae Young","ATL","BOS","34.0","PG","10,600","46.6","-1.8","55.6","0.0","MAIN"
"Jaden McDaniels","MIN","PHX","26.0","SF/PF","3,500","18.2","-1.8","25.1","0.0","MAIN"
"Garrett Temple","NOP","DEN","29.0","SG/SF","3,800","19.3","-1.9","26.4","0.0","MAIN"
"John Konchar","MEM","UTA","24.0","SG/SF","3,800","19.2","-2.0","26.6","0.0","MAIN"
"Jrue Holiday","MIL","NYK","32.0","PG","7,400","33.5","-2.1","41.3","0.0","MAIN"
"Gary Harris","ORL","DET","29.0","SG/SF","3,800","19.1","-2.1","25.7","0.4","MAIN"
"John Collins","ATL","BOS","31.0","PF/C","6,700","30.7","-2.1","37.4","0.0","MAIN"
"Marcus Smart","BOS","ATL","32.0","PG","5,600","26.3","-2.1","33.9","0.0","MAIN"
"Isaiah Hartenstein","LAC","MIA","16.0","C","3,400","17.4","-2.2","25.0","0.6","MAIN"
"Trey Lyles","DET","ORL","22.5","PF/C","4,900","23.4","-2.2","30.7","0.4","MAIN"
"Killian Hayes","DET","ORL","24.5","PG","3,600","18.1","-2.3","25.7","0.0","MAIN"
"Jeff Green","DEN","NOP","28.5","SF/PF","4,300","20.9","-2.3","27.4","0.0","MAIN"
"Facundo Campazzo","DEN","NOP","19.0","PG/SG","3,200","16.5","-2.3","24.2","0.0","MAIN"
"Lonnie Walker IV","SAS","CHI","21.0","SG/SF","3,400","17.2","-2.4","24.2","0.6","MAIN"
"P.J. Tucker","MIA","LAC","28.0","PF","3,800","18.7","-2.5","25.5","0.2","MAIN"
"Mike Conley","UTA","MEM","30.0","PG","7,100","31.7","-2.7","39.4","0.2","MAIN"
"Duncan Robinson","MIA","LAC","27.0","SG","4,300","20.5","-2.7","27.5","0.0","MAIN"
"Lance Stephenson","IND","OKC","18.0","PG/SG","3,900","18.9","-2.7","27.2","0.0","MAIN"
"Dwight Howard","LAL","CHA","14.0","C","3,100","15.5","-2.9","23.3","18.4","MAIN"
"Justise Winslow","LAC","MIA","19.0","PG/SF","3,300","16.3","-2.9","24.0","0.0","MAIN"
"Joe Ingles","UTA","MEM","30.0","SG/SF","4,800","22.2","-3.0","29.5","0.0","MAIN"
"Brandon Clarke","MEM","UTA","21.0","PF/C","4,800","22.1","-3.1","29.1","0.0","MAIN"
"Clint Capela","ATL","BOS","27.0","C","6,900","30.4","-3.2","37.7","0.0","MAIN"
"Torrey Craig","IND","OKC","27.0","SF/PF","4,700","21.5","-3.3","28.4","0.0","MAIN"
"Javonte Green","CHI","SAS","25.0","SF","3,500","16.7","-3.3","23.4","0.0","MAIN"
"RJ Barrett","NYK","MIL","34.0","PG/SF","7,400","32.2","-3.4","39.8","0.0","MAIN"
"Darius Bazley","OKC","IND","23.0","PF","4,100","18.9","-3.5","25.9","0.0","MAIN"
"Immanuel Quickley","NYK","MIL","22.0","PG/SG","4,300","19.6","-3.6","26.6","0.0","MAIN"
"Cory Joseph","DET","ORL","24.5","PG","4,600","20.8","-3.6","28.1","0.0","MAIN"
"Terrence Ross","ORL","DET","19.0","SG/SF","3,400","15.9","-3.7","23.2","0.0","MAIN"
"Amir Coffey","LAC","MIA","32.0","SG","5,400","23.9","-3.7","30.7","0.0","MAIN"
"Robert Williams","BOS","ATL","30.0","C","7,000","30.2","-3.8","37.8","0.0","MAIN"
"Caris LeVert","IND","OKC","32.0","PG/SG","8,800","37.3","-3.9","45.7","0.0","MAIN"
"Chuma Okeke","ORL","DET","23.0","SF/PF","4,100","18.5","-3.9","25.9","0.0","MAIN"
"Kevin Huerter","ATL","BOS","28.0","SG/SF","4,700","20.9","-3.9","27.7","0.0","MAIN"
"Eric Bledsoe","LAC","MIA","20.0","PG/SG","4,100","18.5","-3.9","26.4","0.0","MAIN"
"Austin Reaves","LAL","CHA","23.0","PG/SG","3,300","15.1","-4.1","21.7","0.0","MAIN"
"Royce O'Neale","UTA","MEM","31.0","PF","4,700","20.7","-4.1","27.5","0.0","MAIN"
"Troy Brown Jr.","CHI","SAS","22.0","SF/PF","3,400","15.4","-4.2","22.2","0.0","MAIN"
"Gabe Vincent","MIA","LAC","28.5","PG","5,100","22.2","-4.2","29.6","0.0","MAIN"
"Bryn Forbes","DEN","NOP","18.5","SG","3,000","13.8","-4.2","20.6","0.0","MAIN"
"Hamidou Diallo","DET","ORL","25.5","SG/SF","5,500","23.7","-4.3","31.9","0.0","MAIN"
"Moritz Wagner","ORL","DET","15.0","PF/C","3,300","14.9","-4.3","22.4","0.0","MAIN"
"Nerlens Noel","NYK","MIL","24.0","C","4,000","17.7","-4.3","24.8","0.0","MAIN"
"Al Horford","BOS","ATL","27.0","PF/C","5,700","24.5","-4.3","31.3","0.2","MAIN"
"Rodney McGruder","DET","ORL","20.0","SF","3,100","14.1","-4.3","21.0","0.0","MAIN"
"Trendon Watford","POR","HOU","16.0","C","3,200","14.4","-4.4","21.4","0.0","MAIN"
"Landry Shamet","PHX","MIN","19.5","SG/SF","3,200","14.4","-4.4","21.1","0.0","MAIN"
"Caleb Martin","MIA","LAC","22.0","SG/SF","3,700","16.3","-4.5","23.5","0.0","MAIN"
"Dewayne Dedmon","MIA","LAC","15.0","C","3,400","15.1","-4.5","22.6","0.0","MAIN"
"Zeke Nnaji","DEN","NOP","18.0","PF/C","3,100","13.8","-4.6","20.5","0.0","MAIN"
"Ziaire Williams","MEM","UTA","28.0","SG/SF","3,600","15.7","-4.7","21.9","0.0","MAIN"
"Ayo Dosunmu","CHI","SAS","36.0","PG/SG","6,000","25.0","-5.0","32.5","0.0","MAIN"
"De'Andre Hunter","ATL","BOS","32.0","SF/PF","5,200","21.8","-5.0","28.8","0.0","MAIN"
"Grayson Allen","MIL","NYK","25.0","SG/SF","4,000","16.9","-5.1","23.6","0.0","MAIN"
"Justin Holiday","IND","OKC","28.0","SF","5,000","20.9","-5.1","27.8","0.0","MAIN"
"George Hill","MIL","NYK","22.0","PG","3,200","13.6","-5.2","20.1","0.0","MAIN"
"Rudy Gay","UTA","MEM","18.5","SF/PF","4,200","17.6","-5.2","24.8","0.0","MAIN"
"Bogdan Bogdanovic","ATL","BOS","23.0","PG/SG","4,400","18.4","-5.2","25.3","0.0","MAIN"
"Danilo Gallinari","ATL","BOS","22.0","SF/PF","4,300","18.0","-5.2","24.5","0.0","MAIN"
"Aaron Gordon","DEN","NOP","33.0","SF/PF","6,300","26.0","-5.2","33.1","0.0","MAIN"
"Armoni Brooks","HOU","POR","16.0","PG/SG","3,100","13.1","-5.3","20.1","1.6","MAIN"
"Ben McLemore","POR","HOU","19.5","SG/SF","3,500","14.7","-5.3","21.7","0.0","MAIN"
"Reggie Jackson","LAC","MIA","26.0","PG","6,100","25.0","-5.4","33.0","0.0","MAIN"
"Jeremy Lamb","IND","OKC","18.0","SG/SF","4,200","17.4","-5.4","24.7","0.0","MAIN"
"Austin Rivers","DEN","NOP","26.0","PG/SF","3,700","15.2","-5.6","22.1","0.0","MAIN"
"Chris Duarte","IND","OKC","29.0","SG/SF","6,400","25.9","-5.7","33.5","0.0","MAIN"
"Josh Jackson","DET","ORL","16.0","SG/SF","3,300","13.5","-5.7","20.8","0.0","MAIN"
"Pat Connaughton","MIL","NYK","24.0","SF/PF","4,100","16.6","-5.8","23.3","0.0","MAIN"
"Ty Jerome","OKC","IND","15.0","SG","3,100","12.6","-5.8","19.8","0.0","MAIN"
