"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Christian McCaffrey","CAR","CLE","RB","8500","24.5","4.7","27.0","23486004","31.8"
"Jalen Hurts","PHI","DET","QB","6800","24.6","3.6","17.6","23485911","34.1"
"Aaron Jones","GB","MIN","RB","6700","18.8","2.6","15.7","23486018","25.4"
"Saquon Barkley","NYG","TEN","RB","6100","17.6","2.6","24.0","23486028","22.7"
"Justin Jefferson","MIN","GB","WR","7800","20.9","2.5","14.0","23486374","29.2"
"Joe Mixon","CIN","PIT","RB","7100","19.4","2.3","17.5","23486012","27.6"
"Travis Kelce","KC","ARI","TE","6600","18.4","2.3","18.4","23486998","26.4"
"Ja'Marr Chase","CIN","PIT","WR","7100","19.1","2.1","15.6","23486378","28.1"
"Lamar Jackson","BAL","NYJ","QB","7300","24.6","2.0","10.0","23485908","31.3"
"James Conner","ARI","KC","RB","7000","18.7","1.9","9.5","23486014","25.4"
"Joe Burrow","CIN","PIT","QB","6400","21.7","1.9","7.0","23485913","28.1"
"Najee Harris","PIT","CIN","RB","6400","17.6","1.9","18.5","23486022","23.3"
"Tee Higgins","CIN","PIT","WR","6100","16.8","1.8","15.0","23486398","25.0"
"Derek Carr","LV","LAC","QB","5900","20.1","1.8","7.8","23485916","26.8"
"Jameis Winston","NO","ATL","QB","5300","18.2","1.7","5.0","23485929","23.7"
"Mitch Trubisky","PIT","CIN","QB","5000","17.2","1.7","1.5","23485937","22.7"
"Daniel Jones","NYG","TEN","QB","5000","17.2","1.6","5.5","23485938","22.0"
"JuJu Smith-Schuster","KC","ARI","WR","5200","14.8","1.5","16.0","23486430","21.6"
"Marcus Mariota","ATL","NO","QB","5200","17.6","1.4","1.9","23485933","24.2"
"Jonathan Taylor","IND","HOU","RB","9100","22.4","1.4","14.8","23486000","30.9"
"Michael Pittman Jr.","IND","HOU","WR","5500","15.3","1.4","25.8","23486418","22.8"
"Marquise Brown","ARI","KC","WR","6200","16.6","1.3","17.0","23486394","22.7"
"Randall Cobb","GB","MIN","WR","3400","11.0","1.3","6.5","23486548","17.1"
"Trey Lance","SF","CHI","QB","6000","19.9","1.3","5.5","23485915","26.1"
"Commanders ","WAS","JAX","DST","2500","7.2","1.3","19.7","23487360","12.1"
"Patrick Mahomes","KC","ARI","QB","7700","24.9","1.2","9.6","23485906","32.5"
"D'Andre Swift","DET","PHI","RB","6800","17.5","1.1","16.3","23486016","23.5"
"Kyler Murray","ARI","KC","QB","7200","23.2","1.0","9.0","23485909","31.6"
"Brandin Cooks","HOU","IND","WR","6300","16.5","1.0","12.1","23486392","22.8"
"Alvin Kamara","NO","ATL","RB","7600","18.9","0.9","11.7","23486010","25.7"
"Derrick Henry","TEN","NYG","RB","8600","20.8","0.8","10.5","23486002","29.7"
"Davante Adams","LV","LAC","WR","8100","19.7","0.7","11.5","23486372","26.7"
"Antonio Gibson","WAS","JAX","RB","5800","15.2","0.7","11.0","23486034","22.2"
"Justin Herbert","LAC","LV","QB","7600","24.1","0.6","8.0","23485907","32.3"
"Jared Goff","DET","PHI","QB","5400","17.3","0.5","0.7","23485923","21.4"
"Austin Ekeler","LAC","LV","RB","8200","19.7","0.5","9.4","23486006","27.5"
"Kirk Cousins","MIN","GB","QB","6100","19.4","0.5","2.3","23485914","25.5"
"Joe Flacco","NYJ","BAL","QB","4800","15.5","0.5","0.6","23485940","21.5"
