DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,My Proj,Value,SS Own,My Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,dk_std,fd_std,yahoo_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
23486004,Christian McCaffrey,"RB,FLEX",CAR,CLE,,8500,,23.02,23.02,2.7082352941176473,0,0,,,21.9115,42.3495,23.023,15.975,21.8,29.3,33.6,40.41,49.201,19.4345,13.3,18.45,25,28.4,34.1,40.8,19.4345,13.3,18.45,25,28.4,34.1,40.8,9.70283,8.33156,8.33156,0,0,0,0,0,6.169,55.902,0.3685,13.528,55.9832,0.5
23485911,Jalen Hurts,QB,PHI,DET,,6800,,22.27,22.27,3.2750000000000004,0,0,,,25.7765,47.555,22.2724,16.5,21.47,27.3,30.82,37.3005,43.6056,21.6274,16.435,21.08,26.39,29.223,35.321,41.405,21.6274,16.435,21.08,26.39,29.223,35.321,41.405,8.34366,7.71097,7.71097,32.255,20.8755,248.824,1.697,0.7475,0,0,0,7.9405,35.5849,0.3695
23485908,Lamar Jackson,QB,BAL,NYJ,,7300,,21.46,21.46,2.9397260273972603,0,0,,,25.119,43.784,21.4601,15.32,20.08,26,30.303,38.64,48.662,21.0026,15.295,19.91,25.405,29.006,36.507,45.662,21.0026,15.295,19.91,25.405,29.006,36.507,45.662,8.89216,8.29934,8.29934,30.666,21.156,225.835,1.59,0.7935,0,0,0,8.7755,41.3871,0.407
23485906,Patrick Mahomes,QB,KC,ARI,,7700,,20.95,20.95,2.720779220779221,0,0,,,27.507,51.14,20.9506,15.36,20.23,25.8025,29.36,34.82,42.4802,20.2771,15.29,19.86,24.785,27.783,32.5,39.5676,20.2771,15.29,19.86,24.785,27.783,32.5,39.5676,7.86257,7.20181,7.20181,33.0915,22.6875,254.51,1.8595,0.695,0,0,0,4.1715,21.8321,0.2135
23486000,Jonathan Taylor,"RB,FLEX",IND,HOU,,9100,,19.75,19.75,2.17032967032967,0,0,,,24.9485,43.533500000000004,19.7532,12.5,18.2,25.3625,29.515,37.805,48.502,17.5932,11.1,16.675,22.7188,26.2,33.7525,43.801,17.5932,11.1,16.675,22.7188,26.2,33.7525,43.801,9.80603,8.7495,8.7495,0,0,0,0,0,2.598,22.053,0.2105,18.1345,82.5791,0.778
23485909,Kyler Murray,QB,ARI,KC,,7200,,19.57,19.57,2.7180555555555554,0,0,,,23.633,51.14,19.5676,13.65,18.77,24.33,27.763,34.241,41.7808,19.0891,13.56,18.52,23.68,26.483,32.202,39.4808,19.0891,13.56,18.52,23.68,26.483,32.202,39.4808,7.93455,7.36403,7.36403,34.006,23.9815,235.762,1.635,0.7855,0,0,0,5.5145,26.7811,0.229
23485907,Justin Herbert,QB,LAC,LV,,7600,,18.92,18.92,2.4894736842105267,0,0,,,25.496,49.5975,18.9239,13.5975,18.21,23.405,26.7,32.543,38.9648,18.5354,13.5875,18.04,22.94,25.8,31.162,36.7815,18.5354,13.5875,18.04,22.94,25.8,31.162,36.7815,7.59925,7.0999,7.0999,30.8695,21.2225,228.987,1.8985,0.692,0,0,0,3.673,16.544,0.146
23486006,Austin Ekeler,"RB,FLEX",LAC,LV,,8200,,18.87,18.87,2.301219512195122,0,0,,,25.496,49.5975,18.8653,11.8,17.2,24.3,29,36.5,45.104,16.3806,9.9,14.9,21.5,25.3075,32.1,39.701,16.3806,9.9,14.9,21.5,25.3075,32.1,39.701,9.38621,8.41177,8.41177,0,0,0,0,0,4.2045,35.9948,0.322,12.739,57.6086,0.5055
23485910,Aaron Rodgers,QB,GB,MIN,,7000,,18.33,18.33,2.6185714285714283,0,0,,,25.385,47.935,18.3253,13.06,17.67,22.68,25.58,31.84,37.702,17.8378,13.015,17.48,21.98,24.403,29.54,35.721,17.8378,13.015,17.48,21.98,24.403,29.54,35.721,7.17793,6.60969,6.60969,31.394,22.125,239.598,1.7575,0.5115,0,0,0,2.424,10.7241,0.124
23485915,Trey Lance,QB,SF,CHI,,6000,,18.14,18.14,3.0233333333333334,0,0,,,23.9065,42.3685,18.1353,13.115,17.46,22.44,25.483,30.68,37.1802,17.7573,13.1,17.12,21.765,24.46,28.882,36.2608,17.7573,13.1,17.12,21.765,24.46,28.882,36.2608,6.98618,6.5537,6.5537,30.2055,20.4995,228.435,1.4965,0.7075,0,0,0,5.7905,21.9446,0.2115
23486010,Alvin Kamara,"RB,FLEX",NO,ATL,,7600,,17.7,17.7,2.328947368421052,0,0,,,23.9045,43.0185,17.7004,11.1,16.4,22.6,26.615,33.9,43.8535,15.4824,9.4,14.25,20,23.615,30.205,38.901,15.4824,9.4,14.25,20,23.615,30.205,38.901,8.75873,7.89213,7.89213,0,0,0,0,0,3.938,35.8611,0.2605,13.006,52.2832,0.531
