DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,My Proj,Value,SS Own,My Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,dk_std,fd_std,yahoo_std,Pass Att,Completions,Pass Yds,Pass TD,Pass Int,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD
23485908,Lamar Jackson,QB,BAL,NYJ,,7300,,22.9,22.9,3.1369863013698627,10.11,10.11,,,25.5112,47.2176,22.9045,16.56,21.72,28.225,32.123,38.66,48.0416,22.2997,16.46,21.45,27.3962,30.74,36.62,44.6804,22.2997,16.46,21.45,27.3962,30.74,36.62,44.6804,8.79613,8.10508,8.10508,29.1362,20.277,225.378,1.4958,0.5212,0,0,0,10.3556,56.8278,0.4672
23485906,Patrick Mahomes,QB,KC,ARI,,7700,,22.56,22.56,2.9298701298701295,9.5,9.5,,,27.0504,51.662800000000004,22.5584,16.42,21.83,28.045,31.4,37,44.2014,21.4532,16.115,20.95,26.22,29.163,34.5,41.2014,21.4532,16.115,20.95,26.22,29.163,34.5,41.2014,8.32727,7.50726,7.50726,37.9648,25.919,280.996,2.0834,0.5664,0,0,0,3.4912,18.5214,0.1682
23486004,Christian McCaffrey,"RB,FLEX",CAR,CLE,,8500,,21.91,21.91,2.5776470588235294,20.83,20.83,,,21.4122,44.160399999999996,21.9081,14.9,20.6,27.4,31.9,39.505,48.801,18.8741,12.7,17.8,23.9,27.5075,34.4025,42.5,18.8741,12.7,17.8,23.9,27.5075,34.4025,42.5,9.64908,8.41509,8.41509,0,0,0,0,0,4.9148,45.3019,0.2866,15.9638,66.3076,0.6088
23486000,Jonathan Taylor,"RB,FLEX",IND,HOU,,9100,,21.5,21.5,2.3626373626373627,10.67,10.67,,,26.451,46.171,21.496,14.1,20.5,27.8,32,39,49.101,19.2277,12.7,18.2,24.6,28.4075,35.3,44.901,19.2277,12.7,18.2,24.6,28.4075,35.3,44.901,9.83641,8.80069,8.80069,0,0,0,0,0,1.983,14.9595,0.15,22.0092,96.7623,1.0464
23485911,Jalen Hurts,QB,PHI,DET,,6800,,21.47,21.47,3.1573529411764705,10.56,10.56,,,25.3882,47.6836,21.4675,15.58,20.5,26.24,29.68,36.38,45.1212,20.9659,15.56,20.24,25.6,28.8345,34.301,42.2802,20.9659,15.56,20.24,25.6,28.8345,34.301,42.2802,8.21873,7.63339,7.63339,29.9324,19.4966,226.749,1.455,0.5052,0,0,0,8.5134,47.196,0.4076
23485907,Justin Herbert,QB,LAC,LV,,7600,,21.33,21.33,2.8065789473684206,5.83,5.83,,,27.0498,51.2338,21.3257,15.46,20.6,26.38,29.783,35.02,41.7202,20.3117,15.22,19.83,24.7225,27.7,32.42,39.3808,20.3117,15.22,19.83,24.7225,27.7,32.42,39.3808,7.87596,7.05512,7.05512,36.967,24.8264,274.939,2.0106,0.5386,0,0,0,2.9836,13.5854,0.1284
23485909,Kyler Murray,QB,ARI,KC,,7200,,21.31,21.31,2.959722222222222,8.56,8.56,,,24.6124,51.662800000000004,21.3126,15.28,20.61,26.28,29.76,36.1935,44.1806,20.6232,15.14,20.09,25.34,28.223,34.181,41.5804,20.6232,15.14,20.09,25.34,28.223,34.181,41.5804,8.27051,7.62346,7.62346,35.7118,23.945,253.798,1.6038,0.565,0,0,0,5.8786,34.0347,0.2872
23486006,Austin Ekeler,"RB,FLEX",LAC,LV,,8200,,20.44,20.44,2.4926829268292683,12.06,12.06,,,27.0498,51.2338,20.4423,13.3,19,26,30.3,38.7025,48.1,17.7401,11.2,16.5,22.7,26.6575,33.8,42.401,17.7401,11.2,16.5,22.7,26.6575,33.8,42.401,9.64789,8.62424,8.62424,0,0,0,0,0,4.6004,37.4291,0.3554,13.2842,59.8744,0.607
23486002,Derrick Henry,"RB,FLEX",TEN,NYG,,8600,,19.75,19.75,2.296511627906977,10.11,10.11,,,23.7044,44.7162,19.7478,12.1,18.4,26.1,30.2,37.5025,46.402,17.6699,11.1,16.4,23.1,26.7,33.6525,42.701,17.6699,11.1,16.4,23.1,26.7,33.6525,42.701,9.83265,8.77324,8.77324,0,0,0,0,0,1.5962,10.4692,0.09,23.2578,96.9772,0.964
23486018,Aaron Jones,"RB,FLEX",GB,MIN,,6700,,19.44,19.44,2.901492537313433,14.44,14.44,,,27.2812,51.672,19.4366,12.7,18.2,24.6,28.6,36.6,46.103,16.6878,10.5,15.6,21.4,25.2,31.7,40.302,16.6878,10.5,15.6,21.4,25.2,31.7,40.302,9.12169,8.17681,8.17681,0,0,0,0,0,4.9252,37.2766,0.3484,11.8804,51.8135,0.5444
