"Name","Fpts","Position","Team","Opponent","Salary","Value","Slate"
"Jalen Hurts","24.61","QB","PHI","DET","6,800","3.62","Main"
"Jonathan Taylor","24.13","RB","IND","HOU","9,100","2.65","Main"
"Patrick Mahomes","23.84","QB","KC","ARI","7,700","3.10","Main"
"Lamar Jackson","23.34","QB","BAL","NYJ","7,300","3.20","Main"
"Christian McCaffrey","22.84","RB","CAR","CLE","8,500","2.69","Main"
"Justin Herbert","22.51","QB","LAC","LV","7,600","2.96","Main"
"Kyler Murray","21.86","QB","ARI","KC","7,200","3.04","Main"
"Derrick Henry","21.61","RB","TEN","NYG","8,600","2.51","Main"
"Joe Burrow","21.11","QB","CIN","PIT","6,400","3.30","Main"
"Aaron Rodgers","19.65","QB","GB","MIN","7,000","2.81","Main"
"Derek Carr","19.50","QB","LV","LAC","5,900","3.30","Main"
"Ja'Marr Chase","19.37","WR","CIN","PIT","7,100","2.73","Main"
"Jameis Winston","19.13","QB","NO","ATL","5,300","3.61","Main"
"Justin Jefferson","19.01","WR","MIN","GB","7,800","2.44","Main"
"Davante Adams","18.35","WR","LV","LAC","8,100","2.27","Main"
"Joe Mixon","18.30","RB","CIN","PIT","7,100","2.58","Main"
"Trey Lance","18.27","QB","SF","CHI","6,000","3.04","Main"
"Austin Ekeler","18.17","RB","LAC","LV","8,200","2.22","Main"
"Carson Wentz","18.05","QB","WAS","JAX","5,500","3.28","Main"
"Kirk Cousins","17.78","QB","MIN","GB","6,100","2.92","Main"
"Daniel Jones","17.63","QB","NYG","TEN","5,000","3.53","Main"
"Tua Tagovailoa","17.54","QB","MIA","NE","5,700","3.08","Main"
"Mac Jones","17.52","QB","NE","MIA","5,400","3.24","Main"
"Travis Kelce","17.49","TE","KC","ARI","6,600","2.65","Main"
"Saquon Barkley","17.25","RB","NYG","TEN","6,100","2.83","Main"
"D'Andre Swift","17.18","RB","DET","PHI","6,800","2.53","Main"
"Matt Ryan","16.85","QB","IND","HOU","5,500","3.06","Main"
"Alvin Kamara","16.80","RB","NO","ATL","7,600","2.21","Main"
"Justin Fields","16.73","QB","CHI","SF","5,600","2.99","Main"
"Baker Mayfield","16.41","QB","CAR","CLE","5,300","3.10","Main"
"Tyreek Hill","16.41","WR","MIA","NE","6,800","2.41","Main"
"Trevor Lawrence","16.39","QB","JAX","WAS","5,600","2.93","Main"
"Mitchell Trubisky","16.38","QB","PIT","CIN","5,000","3.28","Main"
"Ryan Tannehill","16.35","QB","TEN","NYG","5,700","2.87","Main"
"Tee Higgins","16.29","WR","CIN","PIT","6,100","2.67","Main"
"Marquise Brown","16.23","WR","ARI","KC","6,200","2.62","Main"
"Mark Andrews","16.20","TE","BAL","NYJ","6,800","2.38","Main"
"Keenan Allen","15.87","WR","LAC","LV","7,000","2.27","Main"
"Deebo Samuel","15.86","WR","SF","CHI","7,400","2.14","Main"
"Nick Chubb","15.82","RB","CLE","CAR","6,500","2.43","Main"
"A.J. Brown","15.65","WR","PHI","DET","6,400","2.44","Main"
"Marcus Mariota","15.50","QB","ATL","NO","5,200","2.98","Main"
"Aaron Jones","15.36","RB","GB","MIN","6,700","2.29","Main"
"Jared Goff","15.26","QB","DET","PHI","5,400","2.83","Main"
"Dalvin Cook","15.04","RB","MIN","GB","7,900","1.90","Main"
"Michael Pittman Jr.","14.99","WR","IND","HOU","5,500","2.73","Main"
"Davis Mills","14.90","QB","HOU","IND","5,300","2.81","Main"
"Najee Harris","14.88","RB","PIT","CIN","6,400","2.32","Main"
"DJ Moore","14.85","WR","CAR","CLE","6,000","2.47","Main"
"James Conner","14.56","RB","ARI","KC","7,000","2.08","Main"
"Diontae Johnson","14.55","WR","PIT","CIN","6,000","2.43","Main"
"Mike Williams","14.52","WR","LAC","LV","6,600","2.20","Main"
"Brandin Cooks","14.39","WR","HOU","IND","6,300","2.28","Main"
"Kyle Pitts","14.36","TE","ATL","NO","5,700","2.52","Main"
"Adam Thielen","14.23","WR","MIN","GB","5,400","2.63","Main"
"Terry McLaurin","14.11","WR","WAS","JAX","6,500","2.17","Main"
"Michael Thomas","13.95","WR","NO","ATL","5,700","2.45","Main"
"Rashod Bateman","13.90","WR","BAL","NYJ","5,300","2.62","Main"
"Jaylen Waddle","13.79","WR","MIA","NE","6,400","2.15","Main"
"Kadarius Toney","13.78","WR","NYG","TEN","4,100","3.36","Main"
"Jacoby Brissett","13.63","QB","CLE","CAR","5,200","2.62","Main"
"Amon-Ra St. Brown","13.57","WR","DET","PHI","6,100","2.22","Main"
"Rondale Moore","13.43","WR","ARI","KC","4,000","3.36","Main"
"Joe Flacco","13.40","QB","NYJ","BAL","4,800","2.79","Main"
"Darren Waller","13.13","TE","LV","LAC","5,400","2.43","Main"
"Antonio Gibson","13.04","RB","WAS","JAX","5,800","2.25","Main"
"Darnell Mooney","12.87","WR","CHI","SF","5,700","2.26","Main"
"David Montgomery","12.75","RB","CHI","SF","6,000","2.13","Main"
"Jakobi Meyers","12.70","WR","NE","MIA","4,300","2.95","Main"
"Clyde Edwards-Helaire","12.66","RB","KC","ARI","5,400","2.34","Main"
"Amari Cooper","12.65","WR","CLE","CAR","5,900","2.14","Main"
"JuJu Smith-Schuster","12.60","WR","KC","ARI","5,200","2.42","Main"
"Drake London","12.58","WR","ATL","NO","5,000","2.52","Main"
"George Kittle","12.35","TE","SF","CHI","5,900","2.09","Main"
"James Robinson","12.34","RB","JAX","WAS","5,600","2.20","Main"
"Hunter Renfrow","12.12","WR","LV","LAC","5,800","2.09","Main"
"DeVonta Smith","11.90","WR","PHI","DET","5,500","2.16","Main"
"Tyler Boyd","11.50","WR","CIN","PIT","4,800","2.40","Main"
"Miles Sanders","11.34","RB","PHI","DET","5,400","2.10","Main"
"J.K. Dobbins","11.27","RB","BAL","NYJ","5,600","2.01","Main"
"Christian Kirk","11.27","WR","JAX","WAS","5,100","2.21","Main"
"Cordarrelle Patterson","11.23","RB","ATL","NO","5,800","1.94","Main"
"Dallas Goedert","11.10","TE","PHI","DET","4,500","2.47","Main"
"Kenny Golladay","11.05","WR","NYG","TEN","4,800","2.30","Main"
"Robert Woods","10.95","WR","TEN","NYG","5,600","1.96","Main"
"Allen Lazard","10.80","WR","GB","MIN","5,600","1.93","Main"
"Damien Harris","10.77","RB","NE","MIA","5,700","1.89","Main"
"T.J. Hockenson","10.38","TE","DET","PHI","4,900","2.12","Main"
"Chase Claypool","10.38","WR","PIT","CIN","5,000","2.08","Main"
"Marvin Jones Jr.","10.35","WR","JAX","WAS","4,400","2.35","Main"
"Rhamondre Stevenson","10.29","RB","NE","MIA","5,500","1.87","Main"
"J.D. McKissic","10.27","RB","WAS","JAX","5,100","2.01","Main"
"Brandon Aiyuk","10.18","WR","SF","CHI","5,200","1.96","Main"
"Elijah Moore","10.12","WR","NYJ","BAL","5,100","1.98","Main"
"Zach Ertz","10.08","TE","ARI","KC","4,400","2.29","Main"
"Eli Mitchell","10.07","RB","SF","CHI","5,400","1.86","Main"
"A.J. Green","10.03","WR","ARI","KC","4,600","2.18","Main"
"AJ Dillon","9.90","RB","GB","MIN","5,300","1.87","Main"
"Josh Jacobs","9.88","RB","LV","LAC","6,300","1.57","Main"
"DeVante Parker","9.85","WR","NE","MIA","4,800","2.05","Main"
"Chase Edmonds","9.81","RB","MIA","NE","5,200","1.89","Main"
"Michael Carter","9.81","RB","NYJ","BAL","5,100","1.92","Main"
"Treylon Burks","9.74","WR","TEN","NYG","5,000","1.95","Main"
"Nyheim Hines","9.73","RB","IND","HOU","5,100","1.91","Main"
"Jahan Dotson","9.69","WR","WAS","JAX","3,400","2.85","Main"
"DJ Chark Jr.","9.59","WR","DET","PHI","4,800","2.00","Main"
"Mike Gesicki","9.58","TE","MIA","NE","4,800","2.00","Main"
"Jarvis Landry","9.55","WR","NO","ATL","5,000","1.91","Main"
"Pat Freiermuth","9.36","TE","PIT","CIN","4,200","2.23","Main"
"Kareem Hunt","9.13","RB","CLE","CAR","5,700","1.60","Main"
"49ers","9.09","DST","SF","CHI","4,100","2.22","Main"
"Alec Pierce","8.90","WR","IND","HOU","3,900","2.28","Main"
"Dameon Pierce","8.85","RB","HOU","IND","4,800","1.84","Main"
"Robbie Anderson","8.78","WR","CAR","CLE","4,800","1.83","Main"
"Jamaal Williams","8.76","RB","DET","PHI","5,200","1.68","Main"
"Garrett Wilson","8.72","WR","NYJ","BAL","4,700","1.86","Main"
"Skyy Moore","8.71","WR","KC","ARI","3,800","2.29","Main"
"Gerald Everett","8.69","TE","LAC","LV","3,800","2.29","Main"
"Irv Smith Jr.","8.45","TE","MIN","GB","3,400","2.49","Main"
"Marquez Valdes-Scantling","8.39","WR","KC","ARI","4,700","1.78","Main"
"Wan'Dale Robinson","8.28","WR","NYG","TEN","3,000","2.76","Main"
"Austin Hooper","8.23","TE","TEN","NYG","3,700","2.23","Main"
"Cole Kmet","8.22","TE","CHI","SF","3,700","2.22","Main"
"Joshua Palmer","8.20","WR","LAC","LV","3,800","2.16","Main"
"Chris Olave","8.20","WR","NO","ATL","4,500","1.82","Main"
"Hunter Henry","8.12","TE","NE","MIA","3,800","2.14","Main"
"Colts","7.99","DST","IND","HOU","3,900","2.05","Main"
"Saints","7.91","DST","NO","ATL","3,700","2.14","Main"
"George Pickens","7.87","WR","PIT","CIN","4,100","1.92","Main"
"James Proche","7.85","WR","BAL","NYJ","3,300","2.38","Main"
"Mecole Hardman","7.83","WR","KC","ARI","4,600","1.70","Main"
"Robert Tonyan","7.81","TE","GB","MIN","3,900","2.00","Main"
"Devin Duvernay","7.79","WR","BAL","NYJ","3,800","2.05","Main"
"Steelers","7.72","DST","PIT","CIN","2,400","3.22","Main"
"Travis Etienne","7.66","RB","JAX","WAS","5,600","1.37","Main"
"Breece Hall","7.65","RB","NYJ","BAL","5,500","1.39","Main"
"Browns","7.56","DST","CLE","CAR","3,800","1.99","Main"
"Hayden Hurst","7.49","TE","CIN","PIT","3,300","2.27","Main"
"Nico Collins","7.49","WR","HOU","IND","4,200","1.78","Main"
"Panthers","7.45","DST","CAR","CLE","3,400","2.19","Main"
"Randall Cobb","7.42","WR","GB","MIN","3,400","2.18","Main"
"Ravens","7.40","DST","BAL","NYJ","4,000","1.85","Main"
"Donovan Peoples-Jones","7.40","WR","CLE","CAR","4,400","1.68","Main"
"Commanders","7.39","DST","WAS","JAX","2,500","2.96","Main"
"Bengals","7.38","DST","CIN","PIT","3,600","2.05","Main"
"Dolphins","7.25","DST","MIA","NE","2,600","2.79","Main"
"Alexander Mattison","7.23","RB","MIN","GB","6,200","1.17","Main"
"Logan Thomas","7.22","TE","WAS","JAX","3,200","2.25","Main"
"Titans","7.09","DST","TEN","NYG","3,500","2.03","Main"
"Kendrick Bourne","7.05","WR","NE","MIA","4,200","1.68","Main"
"Kenneth Gainwell","7.02","RB","PHI","DET","4,600","1.53","Main"
"Braxton Berrios","6.82","WR","NYJ","BAL","4,000","1.71","Main"
"David Njoku","6.81","TE","CLE","CAR","3,900","1.75","Main"
"Cedrick Wilson","6.63","WR","MIA","NE","3,900","1.70","Main"
"Mo Alie-Cox","6.52","TE","IND","HOU","3,400","1.92","Main"
"Corey Davis","6.52","WR","NYJ","BAL","4,900","1.33","Main"
"Curtis Samuel","6.51","WR","WAS","JAX","4,200","1.55","Main"
"Evan Engram","6.47","TE","JAX","WAS","3,500","1.85","Main"
"K.J. Osborn","6.40","WR","MIN","GB","4,900","1.31","Main"
"Zay Jones","6.37","WR","JAX","WAS","4,100","1.55","Main"
"Sammy Watkins","6.30","WR","GB","MIN","4,700","1.34","Main"
"Romeo Doubs","6.30","WR","GB","MIN","3,000","2.10","Main"
"Chris Moore","6.27","WR","HOU","IND","3,000","2.09","Main"
"Patriots","6.25","DST","NE","MIA","2,700","2.32","Main"
"Brevin Jordan","6.20","TE","HOU","IND","3,100","2.00","Main"
"Chargers","6.11","DST","LAC","LV","3,300","1.85","Main"
"Parris Campbell","6.10","WR","IND","HOU","3,300","1.85","Main"
"Giants","6.03","DST","NYG","TEN","2,300","2.62","Main"
"Mike Davis","6.02","RB","BAL","NYJ","4,400","1.37","Main"
"Eagles","6.01","DST","PHI","DET","3,100","1.94","Main"
"Chiefs","5.99","DST","KC","ARI","3,000","2.00","Main"
"Jets","5.91","DST","NYJ","BAL","2,300","2.57","Main"
"Packers","5.88","DST","GB","MIN","3,200","1.84","Main"
"Nick Westbrook-Ikhine","5.88","WR","TEN","NYG","4,800","1.23","Main"
"Olamide Zaccheaus","5.80","WR","ATL","NO","4,000","1.45","Main"
"Christian Watson","5.78","WR","GB","MIN","5,100","1.13","Main"
"Bears","5.75","DST","CHI","SF","2,200","2.61","Main"
"Sony Michel","5.64","RB","LAC","LV","4,700","1.20","Main"
"Jaguars","5.61","DST","JAX","WAS","2,500","2.24","Main"
"Phillip Dorsett II","5.56","WR","HOU","IND","3,000","1.85","Main"
"Falcons","5.50","DST","ATL","NO","2,800","1.96","Main"
"Tyler Conklin","5.49","TE","NYJ","BAL","3,500","1.57","Main"
"Damien Williams","5.46","RB","ATL","NO","4,700","1.16","Main"
"Tyler Allgeier","5.28","RB","ATL","NO","4,500","1.17","Main"
"Raiders","5.28","DST","LV","LAC","2,100","2.51","Main"
"Cardinals","5.26","DST","ARI","KC","2,900","1.81","Main"
"Rex Burkhead","5.11","RB","HOU","IND","4,900","1.04","Main"
"Josh Reynolds","5.10","WR","DET","PHI","3,600","1.42","Main"
"Khalil Herbert","5.01","RB","CHI","SF","5,200","0.96","Main"
"Texans","5.00","DST","HOU","IND","2,400","2.08","Main"
"Vikings","4.97","DST","MIN","GB","2,200","2.26","Main"
"Raheem Mostert","4.96","RB","MIA","NE","4,800","1.03","Main"
"Zamir White","4.88","RB","LV","LAC","4,700","1.04","Main"
"Lions","4.86","DST","DET","PHI","2,000","2.43","Main"
"Ashton Dulin","4.82","WR","IND","HOU","3,200","1.51","Main"
"Daniel Bellinger","4.82","TE","NYG","TEN","2,500","1.93","Main"
"Mark Ingram II","4.68","RB","NO","ATL","5,900","0.79","Main"
"Velus Jones","4.61","WR","CHI","SF","3,600","1.28","Main"
"Chris Evans","4.54","RB","CIN","PIT","4,800","0.95","Main"
"Byron Pringle","4.47","WR","CHI","SF","4,400","1.02","Main"
"Jauan Jennings","4.47","WR","SF","CHI","3,100","1.44","Main"
"Dan Arnold","4.39","TE","JAX","WAS","2,800","1.57","Main"
"Pharaoh Brown","4.38","TE","HOU","IND","2,600","1.68","Main"
"Chuba Hubbard","4.37","RB","CAR","CLE","5,400","0.81","Main"
"David Bell","4.29","WR","CLE","CAR","3,600","1.19","Main"
"Quez Watkins","4.25","WR","PHI","DET","3,400","1.25","Main"
"Ameer Abdullah","4.23","RB","LV","LAC","4,200","1.01","Main"
"Ty Johnson","4.22","RB","NYJ","BAL","4,000","1.06","Main"
"Calvin Austin","4.22","WR","PIT","CIN","3,200","1.32","Main"
"Equanimeous St. Brown","4.16","WR","CHI","SF","3,000","1.39","Main"
"Donald Parham Jr.","4.15","TE","LAC","LV","2,800","1.48","Main"
"Harrison Bryant","4.14","TE","CLE","CAR","2,900","1.43","Main"
"Rashard Higgins","3.86","WR","CAR","CLE","3,400","1.14","Main"
"Bryan Edwards","3.83","WR","ATL","NO","4,200","0.91","Main"
"Ryan Griffin","3.77","TE","CHI","SF","2,700","1.40","Main"
"Jonnu Smith","3.77","TE","NE","MIA","2,800","1.35","Main"
"Darrel Williams","3.70","RB","ARI","KC","4,900","0.76","Main"
"Parker Hesse","3.65","TE","ATL","NO","2,500","1.46","Main"
"Jerick McKinnon","3.64","RB","KC","ARI","4,200","0.87","Main"
"Geoff Swaim","3.62","TE","TEN","NYG","3,000","1.21","Main"
"Tommy Tremble","3.60","TE","CAR","CLE","3,100","1.16","Main"
"Boston Scott","3.60","RB","PHI","DET","4,500","0.80","Main"
"Terrace Marshall Jr.","3.45","WR","CAR","CLE","4,300","0.80","Main"
"Zach Pascal","3.43","WR","PHI","DET","3,000","1.14","Main"
"Adam Trautman","3.37","TE","NO","ATL","3,100","1.09","Main"
"Durham Smythe","3.34","TE","MIA","NE","2,600","1.29","Main"
"Nelson Agholor","3.28","WR","NE","MIA","3,400","0.96","Main"
"Trey Sermon","3.24","RB","PHI","DET","4,600","0.71","Main"
"Taysom Hill","3.23","TE","NO","ATL","4,600","0.70","Main"
"Jeff Wilson Jr.","3.18","RB","SF","CHI","5,100","0.62","Main"
"Dontrell Hilliard","3.16","RB","TEN","NYG","4,500","0.70","Main"
"Kyle Juszczyk","2.98","RB","SF","CHI","4,100","0.73","Main"
"Tyron Johnson","2.97","WR","LV","LAC","3,000","0.99","Main"
"C.J. Uzomah","2.97","TE","NYJ","BAL","3,600","0.83","Main"
"Dante Pettis","2.92","WR","CHI","SF","3,000","0.97","Main"
"DJ Turner","2.90","WR","LV","LAC","3,000","0.97","Main"
"Ian Thomas","2.89","TE","CAR","CLE","3,000","0.96","Main"
"Darius Slayton","2.88","WR","NYG","TEN","4,200","0.68","Main"
"Mack Hollins","2.82","WR","LV","LAC","3,000","0.94","Main"
"Josiah Deguara","2.80","TE","GB","MIN","2,900","0.96","Main"
"Marcedes Lewis","2.66","TE","GB","MIN","2,500","1.06","Main"
"Isaiah Spiller","2.54","RB","LAC","LV","4,900","0.52","Main"
"Jonathan Williams","2.53","RB","WAS","JAX","4,000","0.63","Main"
"Andy Isabella","2.51","WR","ARI","KC","3,000","0.84","Main"
"Dyami Brown","2.48","WR","WAS","JAX","3,000","0.83","Main"
"John Bates","2.44","TE","WAS","JAX","3,100","0.79","Main"
"Jamal Agnew","2.43","WR","JAX","WAS","3,000","0.81","Main"
"Zach Gentry","2.43","TE","PIT","CIN","2,800","0.87","Main"
"Kylen Granson","2.40","TE","IND","HOU","2,500","0.96","Main"
"Tony Jones Jr.","2.37","RB","NO","ATL","4,500","0.53","Main"
"D'Ernest Johnson","2.34","RB","CLE","CAR","4,900","0.48","Main"
"Ray-Ray McCloud III","2.34","WR","SF","CHI","3,000","0.78","Main"
"Justin Watson","2.29","WR","KC","ARI","3,000","0.76","Main"
"Tanner Hudson","2.24","TE","NYG","TEN","2,500","0.90","Main"
"Salvon Ahmed","2.23","RB","MIA","NE","4,000","0.56","Main"
"Drew Sample","2.21","TE","CIN","PIT","3,000","0.74","Main"
"Marquez Callaway","2.21","WR","NO","ATL","3,500","0.63","Main"
"Juwan Johnson","2.12","TE","NO","ATL","2,500","0.85","Main"
"Craig Reynolds","2.07","RB","DET","PHI","4,000","0.52","Main"
"Kalif Raymond","2.04","WR","DET","PHI","3,500","0.58","Main"
"Foster Moreau","2.04","TE","LV","LAC","3,200","0.64","Main"
"Hassan Haskins","2.00","RB","TEN","NYG","5,000","0.40","Main"
"Samaje Perine","1.99","RB","CIN","PIT","5,000","0.40","Main"
"Myles Gaskin","1.96","RB","MIA","NE","4,500","0.43","Main"
"Benny Snell Jr.","1.96","RB","PIT","CIN","4,800","0.41","Main"
"Cam Sims","1.90","WR","WAS","JAX","3,500","0.54","Main"
"Royce Freeman","1.88","RB","HOU","IND","4,000","0.47","Main"
"Tyquan Thornton","1.86","WR","NE","MIA","3,000","0.62","Main"
"Tre'Quan Smith","1.85","WR","NO","ATL","4,300","0.43","Main"
"Eno Benjamin","1.84","RB","ARI","KC","4,200","0.44","Main"
"Blake Bell","1.78","TE","KC","ARI","2,500","0.71","Main"
"D'Onta Foreman","1.76","RB","CAR","CLE","4,400","0.40","Main"
"Anthony Schwartz","1.75","WR","CLE","CAR","3,200","0.55","Main"
"DeAndre Carter","1.75","WR","LAC","LV","3,100","0.56","Main"
"Matt Breida","1.59","RB","NYG","TEN","4,900","0.32","Main"
"Jalen Guyton","1.52","WR","LAC","LV","3,200","0.47","Main"
"Tre' McKitty","1.42","TE","LAC","LV","2,500","0.57","Main"
"Dare Ogunbowale","1.41","RB","HOU","IND","4,200","0.33","Main"
"Gus Edwards","1.40","RB","BAL","NYJ","5,000","0.28","Main"
"Tylan Wallace","1.36","WR","BAL","NYJ","3,000","0.45","Main"
"Demarcus Robinson","1.36","WR","BAL","NYJ","3,400","0.40","Main"
"Patrick Ricard","1.29","RB","BAL","NYJ","4,000","0.32","Main"
"Amari Rodgers","1.25","WR","GB","MIN","3,000","0.42","Main"
"Jalen Reagor","1.13","WR","MIN","GB","3,000","0.38","Main"
"Brandon Bolden","1.12","RB","LV","LAC","4,400","0.26","Main"
"Trey McBride","1.11","TE","ARI","KC","2,900","0.38","Main"
"Tim Jones","1.11","WR","JAX","WAS","3,000","0.37","Main"
"C.J. Ham","1.11","RB","MIN","GB","4,000","0.28","Main"
"Nick Vannett","1.09","TE","NO","ATL","2,500","0.43","Main"
"Joshua Kelley","1.08","RB","LAC","LV","4,400","0.24","Main"
"Zach WIlson","1.07","QB","NYJ","BAL","5,100","0.21","Main"
"Brock Wright","1.01","TE","DET","PHI","2,500","0.40","Main"
"Taylor Heinicke","0.99","QB","WAS","JAX","4,400","0.23","Main"
"Denzel Mims","0.94","WR","NYJ","BAL","3,000","0.31","Main"
"Dezmon Patmon","0.88","WR","IND","HOU","3,000","0.29","Main"
"Dwayne Washington","0.86","RB","NO","ATL","4,000","0.22","Main"
"Demetric Felton","0.85","RB","CLE","CAR","4,000","0.21","Main"
"Tyler Davis","0.83","TE","GB","MIN","2,500","0.33","Main"
"Gunner Olszewski","0.72","WR","PIT","CIN","3,000","0.24","Main"
"Danny Gray","0.68","WR","SF","CHI","3,200","0.21","Main"
"Antoine Wesley","0.66","WR","ARI","KC","3,400","0.19","Main"
"Trayveon Williams","0.64","RB","CIN","PIT","4,000","0.16","Main"
"Jack Stoll","0.64","TE","PHI","DET","2,500","0.26","Main"
"Keith Smith","0.61","RB","ATL","NO","4,000","0.15","Main"
"Charlie Woerner","0.61","TE","SF","CHI","2,500","0.24","Main"
"Sam Darnold","0.60","QB","CAR","CLE","5,300","0.11","Main"
"Gary Brightwell","0.56","RB","NYG","TEN","4,300","0.13","Main"
"Noah Gray","0.54","TE","KC","ARI","2,500","0.21","Main"
"Ronald Jones II","0.52","RB","KC","ARI","5,200","0.10","Main"
"Dax Milne","0.50","WR","WAS","JAX","3,000","0.17","Main"
"Jermar Jefferson","0.49","RB","DET","PHI","4,000","0.12","Main"
