"Name","Fpts","Position","Team","Opponent","Salary","Value","Slate"
"Jalen Hurts","24.58","QB","PHI","DET","6,800","3.61","Main"
"Patrick Mahomes","24.54","QB","KC","ARI","7,700","3.19","Main"
"Justin Herbert","22.78","QB","LAC","LV","7,600","3.00","Main"
"Christian McCaffrey","22.75","RB","CAR","CLE","8,500","2.68","Main"
"Jonathan Taylor","22.62","RB","IND","HOU","9,100","2.49","Main"
"Kyler Murray","22.07","QB","ARI","KC","7,200","3.06","Main"
"Lamar Jackson","21.23","QB","BAL","NYJ","7,300","2.91","Main"
"Derrick Henry","21.08","RB","TEN","NYG","8,600","2.45","Main"
"Davante Adams","20.22","WR","LV","LAC","8,100","2.50","Main"
"Joe Burrow","19.68","QB","CIN","PIT","6,400","3.08","Main"
"Derek Carr","19.66","QB","LV","LAC","5,900","3.33","Main"
"Alvin Kamara","18.99","RB","NO","ATL","7,600","2.50","Main"
"Aaron Rodgers","18.92","QB","GB","MIN","7,000","2.70","Main"
"Justin Jefferson","18.79","WR","MIN","GB","7,800","2.41","Main"
"Tua Tagovailoa","18.57","QB","MIA","NE","5,700","3.26","Main"
"Jameis Winston","18.56","QB","NO","ATL","5,300","3.50","Main"
"Austin Ekeler","18.32","RB","LAC","LV","8,200","2.23","Main"
"Ja'Marr Chase","18.28","WR","CIN","PIT","7,100","2.57","Main"
"Marquise Brown","17.97","WR","ARI","KC","6,200","2.90","Main"
"Travis Kelce","17.80","TE","KC","ARI","6,600","2.70","Main"
"Mac Jones","17.62","QB","NE","MIA","5,400","3.26","Main"
"Carson Wentz","17.56","QB","WAS","JAX","5,500","3.19","Main"
"Trey Lance","17.54","QB","SF","CHI","6,000","2.92","Main"
"Kirk Cousins","17.47","QB","MIN","GB","6,100","2.86","Main"
"Daniel Jones","17.31","QB","NYG","TEN","5,000","3.46","Main"
"Trevor Lawrence","16.98","QB","JAX","WAS","5,600","3.03","Main"
"Matt Ryan","16.87","QB","IND","HOU","5,500","3.07","Main"
"Tyreek Hill","16.84","WR","MIA","NE","6,800","2.48","Main"
"D'Andre Swift","16.80","RB","DET","PHI","6,800","2.47","Main"
"Saquon Barkley","16.79","RB","NYG","TEN","6,100","2.75","Main"
"Marcus Mariota","16.76","QB","ATL","NO","5,200","3.22","Main"
"Mark Andrews","16.63","TE","BAL","NYJ","6,800","2.45","Main"
"Mitchell Trubisky","16.59","QB","PIT","CIN","5,000","3.32","Main"
"Joe Mixon","16.56","RB","CIN","PIT","7,100","2.33","Main"
"Baker Mayfield","16.28","QB","CAR","CLE","5,300","3.07","Main"
"Jared Goff","16.13","QB","DET","PHI","5,400","2.99","Main"
"Ryan Tannehill","16.12","QB","TEN","NYG","5,700","2.83","Main"
"Keenan Allen","16.00","WR","LAC","LV","7,000","2.29","Main"
"Justin Fields","15.88","QB","CHI","SF","5,600","2.84","Main"
"A.J. Brown","15.56","WR","PHI","DET","6,400","2.43","Main"
"Dalvin Cook","15.47","RB","MIN","GB","7,900","1.96","Main"
"Davis Mills","15.30","QB","HOU","IND","5,300","2.89","Main"
"Deebo Samuel","15.30","WR","SF","CHI","7,400","2.07","Main"
"Tee Higgins","15.26","WR","CIN","PIT","6,100","2.50","Main"
"Aaron Jones","15.22","RB","GB","MIN","6,700","2.27","Main"
"Nick Chubb","15.15","RB","CLE","CAR","6,500","2.33","Main"
"Michael Pittman Jr.","15.04","WR","IND","HOU","5,500","2.73","Main"
"Najee Harris","14.97","RB","PIT","CIN","6,400","2.34","Main"
"Mike Williams","14.64","WR","LAC","LV","6,600","2.22","Main"
"DJ Moore","14.63","WR","CAR","CLE","6,000","2.44","Main"
"James Conner","14.49","RB","ARI","KC","7,000","2.07","Main"
"Brandin Cooks","14.45","WR","HOU","IND","6,300","2.29","Main"
"Michael Thomas","14.16","WR","NO","ATL","5,700","2.48","Main"
"Jaylen Waddle","14.09","WR","MIA","NE","6,400","2.20","Main"
"Amon-Ra St. Brown","14.07","WR","DET","PHI","6,100","2.31","Main"
"Adam Thielen","14.06","WR","MIN","GB","5,400","2.60","Main"
"Kyle Pitts","14.01","TE","ATL","NO","5,700","2.46","Main"
"Diontae Johnson","13.94","WR","PIT","CIN","6,000","2.32","Main"
